Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Age,Pos,Salary,Team,Year
Mike Adams,,,,,,,,,,,O,,,,,,,,,,Texans,2019
Jahleel Addae,,,,,,,,,,,,,,,Q,Q,Q,,,,Texans,2019
Jordan Akins,,,,,,,,,,,,,,,,,Q,27,TE,600000,Texans,2019
Angelo Blackson,,,,,,,,,,,,Q,,,,,,27,RDE,2000000,Texans,2019
Dylan Cole,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Gareon Conley,,,,,,,,,,,,Q,Q,,,,,24,rcb,,Texans,2019
Keke Coutee,Q,,,,,,,,,,,,,,,,,,,,Texans,2019
Keion Crossen,,,,,,,,,,,,,,,,,,,,,Texans,2019
Duke Ejiofor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Darren Fells,,,,,,,,,,,,,,,,,,33,TE,900000,Texans,2019
Will Fuller,,,,,,,,O,O,Q,Q,,Q,Q,Q,O,Q,25,WR,1836043,Texans,2019
Phillip Gaines,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Tashaun Gipson,,,,,Q,,Q,Q,O,Q,Q,,,,,,IR,29,SS,2500000,Texans,2019
Seantrel Henderson,,,,O,,,IR,IR,IR,IR,IR,,,,,,,,,,Texans,2019
DeAndre Hopkins,,,,,,,,,,,,,,,,Q,,,,,Texans,2019
Tytus Howard,Q,,,,,,O,O,Q,,,D,IR,IR,IR,IR,IR,23,RT,495000,Texans,2019
Carlos Hyde,,,,,,,,,,,,,,,Q,,,29,RB,,Texans,2019
Lonnie Johnson Jr.,,,,,Q,,,,O,,O,,,,,,,24,db,495000,Texans,2019
Roderick Johnson,,,,,,,,Q,,,,,,,,,,,,,Texans,2019
Taiwan Jones,,Q,Q,,,Q,,,,,,,O,Q,Q,,,,,,Texans,2019
Johnathan Joseph,,,,,,Q,Q,Q,,,,,,,,,Q,35,CB,2900000,Texans,2019
Senio Kelemete,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Chris Landrum,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Greg Mancz,Q,Q,,,O,O,O,O,O,,,,,,,,,,,,Texans,2019
Jacob Martin,,,,,,,,,,,,,,,O,Q,,,,,Texans,2019
Benardrick McKinney,,,,,,,,,,,,,,,O,,,27,LILB,6000000,Texans,2019
Lamar Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Charles Omenihu,,,,Q,,,,,,,,,,,,,,,,,Texans,2019
Justin Reid,,,,,,,,,,,O,,,,,,,22,FS,664979,Texans,2019
Bradley Roby,,,,,,,Q,Q,O,Q,Q,,Q,,,Q,Q,27,RCB,5000000,Texans,2019
Ira Savage-Lewis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Brennan Scarlett,,,,,,,,,,,,Q,Q,Q,Q,,,26,ROLB,2025000,Texans,2019
David Steinmetz,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Kenny Stills,,,,,Q,Q,,,,,,,,,,Q,,27,wr,7975000,Texans,2019
Jordan Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Texans,2019
Laremy Tunsil,,,Q,,,,,,Q,Q,,,,,,Q,,,,,Texans,2019
Kahale Warring,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Carlos Watkins,,,,,,,,,,,,O,Q,,,,,,,,Texans,2019
Deshaun Watson,,,,,,,,,,,,,,,,Q,,,,,Texans,2019
J.J. Watt,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,30,LDE,13000000,Texans,2019
Joe Webb,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Isaac Whitney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2019
Xavier Woodson-Luster,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,Texans,2019
