Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Jordan Akins,,,,,Q,Q,Q,,,,,,,28,TE,750000,Texans,2020
Bryan Anger,,,,,,,,,,Q,Q,,,32,P,1250000,Texans,2020
Cornell Armstrong,,,,,,Q,,,,,,,,25,CB,750000,Texans,2020
Randall Cobb,,,,,,,,,,,IR,IR,IR,,,,Texans,2020
Dylan Cole,,,,,,,,C19,Q,IR,IR,,,,,,Texans,2020
Gareon Conley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2020
Brandin Cooks,Q,Q,,,,,,,,,,,,27,WR,8000000,Texans,2020
Isaiah Coulter,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,22,WR,523527,Texans,2020
Keion Crossen,,,,,Q,,,,,,,,,24,CB,750000,Texans,2020
Duke Ejiofor,,,,,,,,,IR,,,,,,,,Texans,2020
Kyle Emanuel,,,,,,,,O,IR,IR,IR,IR,,29,OLB,642353,Texans,2020
Cullen Gillaspia,Q,,,Q,,,,,,Q,O,IR,IR,,,,Texans,2020
Jonathan Greenard,Q,,,,,,,,,,,,,23,DL,610000,Texans,2020
P.J. Hall,,,,,,,Q,,,,IR,IR,IR,,,,Texans,2020
Tytus Howard,,Q,,,,,,,,,,,,24,,1050707,Texans,2020
Buddy Howell,,,,,Q,Q,,,,,,,,24,RB,750000,Texans,2020
David Johnson,,,,,,,,,O,IR,IR,IR,C19,29,RB,10200000,Texans,2020
Duke Johnson,,Q,Q,,,,,,,,,,,27,RB,3600000,Texans,2020
Peter Kalambayi,,Q,Q,Q,Q,Q,Q,,,,,,,25,LB,750000,Texans,2020
Senio Kelemete,,,,,,,,,O,Q,,,,30,T,1300000,Texans,2020
Jacob Martin,,,,,,,,C19,C19,C19,,,,25,LB,750000,Texans,2020
Josh McCown,,,,,,,,,O,,O,,,41,QB,555882,Texans,2020
Benardrick McKinney,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2020
Whitney Mercilus,,,,,,,,C19,C19,,,,,30,DE,10500000,Texans,2020
A.J. Moore,,,,IR,IR,IR,IR,IR,IR,,,,,25,DB,502942,Texans,2020
Charles Omenihu,,,,,,,,,Q,Q,,,,23,DL,675000,Texans,2020
Bradley Roby,,,,,,,,O,,,,,,28,CB,4500000,Texans,2020
Brennan Scarlett,,,,,,,,,IR,IR,IR,IR,IR,,,,Texans,2020
Max Scharping,,,,,,,,C19,C19,,,,,24,OT,725368,Texans,2020
Kenny Stills,,,Q,,,,,,,Q,O,,,,,,Texans,2020
Michael Thomas,,,,,,,,,,IR,IR,IR,IR,,,,Texans,2020
Laremy Tunsil,,,,,,,,,,Q,,,,26,OT,10850000,Texans,2020
Eddie Vanderdoes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2020
Kahale Warring,,,,,,,,,IR,,,,,23,TE,658252,Texans,2020
