Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Mehdi Abdesmad,,,,,,,,,,,,,,,,IR,,,
Jace Amaro,,,,,Q,,,,,,,,,,,,,,
David Bass,,,,,,,,,,,,,,Q,,,,,
Jurrell Casey,,,,,,,,,,,,,Q,Q,,,,,
Kevin Dodd,,,,,,,,Q,,,,,IR,IR,IR,IR,,,
Andy Gallik,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Rashad Johnson,,,,,,,,O,Q,,,,,,,,30,FS,2500000
Karl Klug,,,,,,,,,,,,,,Q,IR,IR,,,
Marcus Mariota,,,,,,,,,,,,,,,,IR,23,QB,5503176
Josue Matias,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jason McCourty,,,,,,,,,,,,,,,O,Q,29,RCB,8800000
Derrick Morgan,,O,Q,,,,,,,,,,,,,,27,LOLB,6312500
Bennett Okotcha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Nate Palmer,,,,Q,,,,,,,,,,,,,,,
Da'Norris Searcy,,,,O,O,,,,,,,,,,,,28,SS,6125000
Tajae Sharpe,,,,,,,,Q,,,,,,,,,22,WR,518721
Quinton Spain,,,,,,,,O,O,,,,,,,,25,LG,527000
Daimion Stafford,,,,,,,,,,,,Q,,,,,25,s,686474
Phillip Supernaw,,,,,,,,,,,,O,,,,,,,
Delanie Walker,,,Q,Q,,,,,Q,,,,,,,,,,
Aaron Wallace,,,,,,,,,Q,Q,,,,,,,,,
Chance Warmack,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
