Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Austin Barnard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Michael Campanaro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Jurrell Casey,,,,,,,,,,,,,,,,IR,,,,Titans,2018
William Compton,,,,,,O,O,Q,,,,,,,,,,,,Titans,2018
Jack Conklin,O,O,Q,,,,,,O,,,,,IR,IR,IR,24,RT,1895242,Titans,2018
Kamalei Correa,,,Q,,,Q,,,,,,,,,,,,,,Titans,2018
Dane Cruikshank,,,,,,,,,Q,,O,O,O,,,,,,,Titans,2018
Johnathan Cyprien,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Kevin Dodd,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Rashaan Evans,O,,,,,,,,,,,,,,,,23,rilb,480000,Titans,2018
Sharif Finch,,,,,,,,,,,,,,,O,,,,,Titans,2018
David Fluellen,,,O,O,,,,,,IR,IR,IR,IR,IR,O,IR,,,,Titans,2018
Blaine Gabbert,,,,Q,,,,,,,,,,,,,,,,Titans,2018
Darius Jennings,,,,,,,,,,,,,Q,,,,,,,Titans,2018
Dennis Kelly,,Q,O,O,Q,,,,,,,,,,,,28,rt,1100000,Titans,2018
Harold Landry,O,Q,,,,,,,,,,,,,,,,,,Titans,2018
Taylor Lewan,,O,,,,,,,,,,,,,,,,,,Titans,2018
Kendrick Lewis,O,O,Q,,,,,,,,,,,,,,,,,Titans,2018
Bennie Logan,,,,,,Q,,,Q,,,,,,,,,,,Titans,2018
Marcus Mariota,,Q,Q,,,,,,,,,,,,,Q,25,QB,705000,Titans,2018
Rishard Matthews,,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Johnny Maxey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Derrick Morgan,,Q,,,,,O,O,Q,,,,Q,,,,29,LOLB,6500000,Titans,2018
Brian Orakpo,,,,,,,,,,,,,,O,O,O,32,ROLB,7250000,Titans,2018
Nate Palmer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Kevin Pamphile,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Gimel President,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Kalan Reed,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Devin Ross,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Logan Ryan,,,,,,,,,,,,,,,IR,IR,27,LCB,10000000,Titans,2018
Tajae Sharpe,,,,,,,,,Q,Q,,,,,Q,,24,WR,630000,Titans,2018
Jonnu Smith,,,,,,,,,,,,,,IR,IR,IR,23,TE,579000,Titans,2018
Tye Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Quinton Spain,,,,,,,Q,,,Q,,,,,,,27,LG,1907000,Titans,2018
Robert Spillane,,,,,,Q,,,,,,,,,,,,,,Titans,2018
Luke Stocker,,Q,,,,,,,,,,,,,,,30,TE,1000000,Titans,2018
Phillip Supernaw,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Taywan Taylor,,,,,,,,,Q,Q,Q,,,,,,23,wr,630000,Titans,2018
John Theus,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Kenny Vaccaro,,,,,O,O,Q,,,,,,,,,,27,SS,900000,Titans,2018
Delanie Walker,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2018
Cole Wick,,,,,,,,,,,,,,IR,IR,IR,,,,Titans,2018
Antwaun Woods,,,,,,,,,,IR,IR,IR,IR,,IR,,,,,Titans,2018
Wesley Woodyard,,,,,O,Q,,,,,,,,,,,32,LILB,2700000,Titans,2018
