Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Vic Beasley,O,Q,,,,,,,,,,,,,,,Titans,2020
Breon Borders,,,,,,,,,,,,,IR,,,,Titans,2020
A.J. Brown,,O,O,Q,,,,,,,,,,23,WR,751926,Titans,2020
Jayon Brown,,,,,,,,,,,IR,IR,IR,,,,Titans,2020
Malcolm Butler,,Q,,,,,,,,,,,,30,CB,11000000,Titans,2020
Jadeveon Clowney,,,,,,,,Q,,IR,IR,IR,IR,,,,Titans,2020
Dane Cruikshank,IR,IR,IR,IR,IR,IR,O,,IR,IR,IR,IR,IR,,,,Titans,2020
Corey Davis,Q,,,,,,,,,,,,,25,WR,825000,Titans,2020
Jamil Douglas,O,Q,,,,,,,,,,,,28,OG,750000,Titans,2020
Darrynton Evans,O,O,,,IR,IR,IR,IR,IR,IR,IR,IR,,22,RB,461763,Titans,2020
Kristian Fulton,,,,,,,O,IR,IR,IR,IR,IR,IR,22,CB,474118,Titans,2020
Reggie Gilbert,//,,,,,,,,,,,,,,,,Titans,2020
Adam Humphries,,,,,,,,O,O,O,O,,IR,,,,Titans,2020
Adoree' Jackson,O,IR,IR,IR,IR,IR,IR,IR,IR,O,,,,25,CB,2003561,Titans,2020
Chris Jackson,,,O,,,,,,,,C19,C19,C19,22,S,610000,Titans,2020
Ben Jones,,,,,,,,,,Q,Q,,,31,C,5250000,Titans,2020
DaQuan Jones,,,,,Q,,,,,,,,,29,DT,7000000,Titans,2020
Brett Kern,,,,,,,,IR,IR,IR,IR,,,34,P,1900000,Titans,2020
Taylor Lewan,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2020
David Long,,,,,,,,,,C19,C19,,,24,LB,675000,Titans,2020
Anthony McKinney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2020
Daniel Munyer,,,,,,,Q,,,,,,,,,,Titans,2020
Larrell Murchison,,,,,,,,,,O,,,,23,DL,610000,Titans,2020
Kareem Orr,,,,,,,,,,Q,IR,IR,IR,23,DB,397059,Titans,2020
Senorise Perry,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,29,RB,910000,Titans,2020
MyCole Pruitt,,,,,,,,,O,O,O,,,28,TE,1100000,Titans,2020
Derick Roberson,O,Q,O,,,,O,,,,,,,25,DE,675000,Titans,2020
Rodger Saffold,,,,,,,,,,O,Q,,,32,T,9500000,Titans,2020
Ty Sambrailo,,,,,,,,,,,IR,IR,IR,,,,Titans,2020
Tye Smith,,,,,,,Q,Q,IR,IR,IR,,,27,CB,825000,Titans,2020
Kenny Vaccaro,,,,,,,,,,O,,,,29,FS,4250000,Titans,2020
Isaiah Wilson,,,,,,,,,,,,,IR,,,,Titans,2020
