Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Mackensie Alexander,,,,,,,Q,Q,,,,,,O,Q,,,,,Vikings,2017
Anthony Barr,,Q,,,,,,,,,,,,,,,,,,Vikings,2017
Blake Bell,,,,,,,,,,,,,,O,IR,IR,,,,Vikings,2017
Sam Bradford,,Q,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2017
Teddy Bridgewater,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,,,,Vikings,2017
Tramaine Brock,Q,,,,,,Q,,,,,,,,O,O,,,,Vikings,2017
Dalvin Cook,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,22,rb,465000,Vikings,2017
Stefon Diggs,,,,,,O,O,Q,,,,,,,,,24,WR,615000,Vikings,2017
Nick Easton,,,,,,O,O,Q,,,,,,,,IR,25,LG,615000,Vikings,2017
Pat Elflein,,,,,,,,,,,,,Q,,,O,23,C,465000,Vikings,2017
Michael Floyd,,,,,,,Q,Q,,,,,,,,,,,,Vikings,2017
Sharrif Floyd,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2017
Everson Griffen,,,,,,,,,Q,Q,,,,,,,,,,Vikings,2017
Anthony Harris,,,,,,,,,Q,,,,,,,,,,,Vikings,2017
Rashod Hill,,,,Q,O,,,,,,,,,,,,25,rt,540000,Vikings,2017
Datone Jones,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,,IR,,,,,Vikings,2017
Jayron Kearse,,,,,Q,,,,,,,,,,,,,,,Vikings,2017
Eric Kendricks,,,,,,,,,,,,Q,,,,,25,MLB,903720,Vikings,2017
Emmanuel Lamur,,,,,,,,,,,,,,Q,,,,,,Vikings,2017
Kevin McDermott,,,,,,,,,,,,,,,,O,,,,Vikings,2017
David Morgan,,,,,,,,,,,,,O,,,,24,te,540000,Vikings,2017
Terence Newman,,,,,,,,,,,,,,,,,39,DB,2400000,Vikings,2017
Riley Reiff,,,,,,,Q,Q,,,,,,D,Q,,29,LT,6200000,Vikings,2017
Mike Remmers,,,,,,,,,O,O,Q,O,O,,,,28,RT,1400000,Vikings,2017
Xavier Rhodes,,Q,,,,,,,,,,,,,,,,,,Vikings,2017
Brian Robison,,,,,,,,,,Q,Q,,,,,,,,,Vikings,2017
Kyle Rudolph,,,,,,,,,,,,,,D,,,,,,Vikings,2017
Bishop Sankey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2017
Andrew Sendejo,,,,,,Q,,,,O,Q,,,,Q,,30,SS,2950000,Vikings,2017
Jeremiah Sirles,,,,,,,,O,O,,,,,,,,,,,Vikings,2017
Shamar Stephen,,,,,,,,,,,,,,,,O,,,,Vikings,2017
Adam Thielen,,,,,,,,,,,,,,,,,,,,Vikings,2017
Stephen Weatherly,,,,,,,,O,Q,,,,,,,,,,,Vikings,2017
