Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Tyler Boyd,,,,,,O,O,O,,,,,,,,,,,,Bengals,2017
Vontaze Burfict,,,,,,,,,,,,,O,O,,D,27.0,RLB,6535529.0,Bengals,2017
Tra Carson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2017
Cody Core,,,,,,,O,,,,,,,,,,,,,Bengals,2017
Darqueze Dennard,,,,,,,,,,,Q,,Q,,,,,,,Bengals,2017
Jeff Driskel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2017
Tyler Eifert,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2017
Jordan Evans,,,,O,Q,,,,,,,,,,,,,,,Bengals,2017
Jake Fisher,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,24.0,rt,772229.0,Bengals,2017
Ryan Hewitt,,,,,O,O,O,,,,,,,,,,,,,Bengals,2017
Jeremy Hill,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,25.0,RB,881855.0,Bengals,2017
Trey Hopkins,,O,O,Q,,,,,,,,,,,,,25.0,RG,465000.0,Bengals,2017
Michael Johnson,,O,Q,,,,,Q,,,,Q,,,,,30.0,RDE,3550000.0,Bengals,2017
T.J. Johnson,,,,,,,,,,,,,,D,IR,IR,,,,Bengals,2017
Adam Jones,,,,,,D,,,,O,,,O,IR,IR,IR,34.0,RCB,6023529.0,Bengals,2017
Dre Kirkpatrick,,,,,,,,,,,,,O,O,,,28.0,LCB,2550000.0,Bengals,2017
Jake Kumerow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2017
Kevin Minter,,,,,,,O,O,O,O,,,,O,IR,IR,27.0,MLB,800000.0,Bengals,2017
Joe Mixon,,,,,,,,,,,,,O,Q,,Q,21.0,rb,465000.0,Bengals,2017
Cedric Ogbuehi,,,,,,,,,,,,,,,O,O,25.0,LT,1282789.0,Bengals,2017
Cedric Peerman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2017
Vincent Rey,,,,,,,,,,,O,O,Q,,,,30.0,RLB,2250000.0,Bengals,2017
John Ross,,Q,O,O,O,Q,,,,,,,IR,IR,IR,IR,,,,Bengals,2017
Mason Schreck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2017
Pat Sims,,,,,,,,,O,O,,,,,,,32.0,LDT,1000000.0,Bengals,2017
Andre Smith,,,,,,,,,,,,,,,IR,IR,30.0,RT,1250000.0,Bengals,2017
Derron Smith,,,Q,D,O,Q,,,,,,,,,,,,,,Bengals,2017
C.J. Uzomah,O,Q,,,,,,,,,,,,,,,24.0,te,615000.0,Bengals,2017
Nick Vigil,,,,,,,,,,,,IR,O,O,O,IR,24.0,LLB,540000.0,Bengals,2017
Shawn Williams,O,Q,,,,,,,D,,O,O,O,Q,,,26.0,SS,3100000.0,Bengals,2017
Brandon Wilson,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,,,,,,Bengals,2017
