Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Maurice Alexander,,,,Q,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,Biils,2019
Jason Croom,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2019
Patrick DiMarco,,,,,Q,,,,,,,,,,,,30.0,fb,1600000.0,Biils,2019
Jerry Hughes,,,,,,,,,,Q,,,,,,,31.0,RDE,6800000.0,Biils,2019
Taron Johnson,,O,O,Q,Q,Q,,,,,,,,,,,23.0,DB,570000.0,Biils,2019
Vosean Joseph,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2019
Tyler Kroft,D,Q,O,O,O,,,,,,,,,,,,,,,Biils,2019
Shaq Lawson,,,,,,,,,,,,,,,,O,,,,Bills,2019
Mike Love,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Biils,2019
Dean Marlowe,,,,,Q,,,,,,,,,,,,,,,Bills,2019
Siran Neal,,,,,,,,,,,O,,,,,,,,,Bills,2019
Ty Nsekhe,,,,,Q,,,,,,O,O,O,O,O,Q,,,,Biils,2019
Harrison Phillips,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2019
Andre Roberts,O,O,,,,,,,,,,,,,,O,,,,Biils,2019
Devin Singletary,,,O,Q,Q,,,,,,,,,,,,22.0,RB,495000.0,Bills,2019
Corey Thompson,,,Q,O,O,Q,Q,,,,,,,,,,,,,Biils,2019
LaAdrian Waddle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2019
Duke Williams,,,,,,,Q,,,,,,,,,,,,,Bills,2019
