Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Joel Bitonio,,P,,,,,,,,O,Q,Q,IR,IR,IR,IR,24.0,LG,1241295.0,Browns,2015
Dwayne Bowe,Q,Q,,,,,,,,,,,,,,,,,,Browns,2015
Michael Bowie,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2015
Desmond Bryant,,Q,Q,O,Q,Q,,,,,,,,,P,P,30.0,LDE,7000000.0,Browns,2015
Karlos Dansby,,Q,,P,Q,Q,,,,,,,,,,Q,34.0,LILB,5500000.0,Browns,2015
Pierre Desir,P,,,,,,,,,,,,,,,,25.0,LCB,611903.0,Browns,2015
Shaun Draughn,,,,Q,D,Q,,,,,,,,,,,,,,Browns,2015
Ifo Ekpre-Olomu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2015
Taylor Gabriel,,,,,,,,,,,O,O,Q,,P,,,,,Browns,2015
Charles Gaines,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,IR,,,,Browns,2015
Justin Gilbert,Q,Q,Q,P,,,,,,,,O,O,Q,,,,,,Browns,2015
Tashaun Gipson,,,,Q,O,O,D,Q,Q,Q,,,,,,,25.0,FS,2356000.0,Browns,2015
John Greco,,,,,,,,,,,,,,,IR,IR,30.0,RG,2825000.0,Browns,2015
Joe Haden,P,,,P,Q,O,O,P,IR,IR,IR,IR,IR,IR,IR,IR,26.0,lcb,11700000.0,Browns,2015
Brian Hartline,,,,,Q,P,,,O,P,,,Q,IR,IR,IR,,,,Browns,2015
Andrew Hawkins,,,,,,,,O,O,P,IR,IR,IR,IR,IR,IR,29.0,WR,5000000.0,Browns,2015
Rob Housler,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,Browns,2015
Malcolm Johnson,,,,,,,,,,,,,IR,IR,IR,IR,23.0,rb,464862.0,Browns,2015
Paul Kruger,,,,,,,,P,,,,,,,,,29.0,LOLB,8200000.0,Browns,2015
Johnny Manziel,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,O,23.0,qb,1874681.0,Browns,2015
Josh McCown,,O,P,P,,P,,Q,O,Q,P,IR,IR,IR,IR,IR,36.0,QB,3916666.0,Browns,2015
Marlon Moore,P,,,,,Q,Q,P,,,,,Q,Q,Q,O,,,,Browns,2015
Nate Orchard,Q,P,,,,,P,,Q,,Q,Q,,,,,22.0,ROLB,812055.0,Browns,2015
Jordan Poyer,,,,,,,,O,O,Q,,,,,,,,,,Browns,2015
Craig Robertson,,,,O,O,O,Q,Q,Q,,,,,,,,27.0,RILB,2356000.0,Browns,2015
Connor Shaw,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2015
Danny Shelton,,,,,,,Q,,,,,,,,,,22.0,NT,2127939.0,Browns,2015
Scott Solomon,,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2015
Randy Starks,,,,,,,,,,,O,Q,,,,,32.0,LDT,2968750.0,Browns,2015
Randall Telfer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2015
Robert Turbin,O,O,O,O,Q,Q,,,,,,,,,,,,,,Browns,2015
Donte Whitner,,,,,P,,,,O,O,P,,,,,,30.0,SS,6750000.0,Browns,2015
K'Waun Williams,Q,,O,O,P,,,P,,,,,,Q,Q,Q,24.0,db,510000.0,Browns,2015
Tramon Williams,,,,,,,,,,,,,,,,O,32.0,RCB,6500000.0,Browns,2015
Glenn Winston,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,O,O,O,,,,Browns,2015
