Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Odell Beckham Jr.,,,,,,Q,,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Andrew Billings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Joel Bitonio,,,,Q,,,,,,,,,,29.0,OT,8500000.0,Browns,2020
Nick Chubb,,,,,IR,IR,IR,IR,,,,,,25.0,RB,1151190.0,Browns,2020
Adrian Clayborn,,,Q,O,Q,,,,,,,,,32.0,DL,1750000.0,Browns,2020
Jack Conklin,,Q,,,,,,,,C19,,,,26.0,OT,5000000.0,Browns,2020
Tae Davis,,,,O,O,,,,,,,,,24.0,LB,750000.0,Browns,2020
Grant Delpit,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Drake Dorbeck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Drew Forbes,,,,,,,IR,,,,IR,IR,IR,,,,Browns,2020
Myles Garrett,,,,,,,,,,C19,C19,,,25.0,DE,862126.0,Browns,2020
Colby Gossett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Nick Harris,,,,Q,,,,,,,Q,,,22.0,OL,610000.0,Browns,2020
Ronnie Harrison,,,,,,O,,,,,IR,IR,IR,,,,Browns,2020
KhaDarel Hodge,,,,,IR,IR,IR,IR,,,,,,25.0,WR,697059.0,Browns,2020
Austin Hooper,,,,,,,O,O,,,,,,26.0,TE,1500000.0,Browns,2020
Chris Hubbard,O,Q,,,,,,,C19,C19,C19,,,29.0,G,2150000.0,Browns,2020
Joe Jackson,,,,,,,,,,,C19,C19,,24.0,EDGE,675000.0,Browns,2020
Kevin Johnson,O,O,,,,,,,,,,,,28.0,CB,1500000.0,Browns,2020
Karl Joseph,,,,,Q,O,Q,,,,,,,27.0,SS,1500000.0,Browns,2020
Jojo Natson,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
David Njoku,,IR,,,,,,,,,,,,24.0,TE,1763877.0,Browns,2020
George Obinna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Larry Ogunjobi,,,,,O,Q,,,,,,,,26.0,DT,2133000.0,Browns,2020
Jacob Phillips,,O,O,Q,,O,O,O,Q,,,,,21.0,LB,610000.0,Browns,2020
Malcolm Pridgeon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Sheldrick Redwine,,,,,,,,,,,O,,,24.0,S,675000.0,Browns,2020
Sheldon Richardson,,,,,,,Q,,,,,,,30.0,DT,11900000.0,Browns,2020
Andrew Sendejo,,,,,,,,,,,Q,,,33.0,DB,1050000.0,Browns,2020
Alex Taylor,IR,IR,,,,,,,,,,,,,,,Browns,2020
Taywan Taylor,,,,,,,,,,,,,IR,,,,Browns,2020
Wyatt Teller,,,,,,O,O,O,,Q,Q,,C19,26.0,OG,750000.0,Browns,2020
J.C. Tretter,Q,Q,,,,,,,,,,,,29.0,OG,4000000.0,Browns,2020
Olivier Vernon,,Q,O,Q,,Q,,,,,,,,30.0,DE,6750000.0,Browns,2020
Denzel Ward,,,Q,Q,,,,,,,O,,,23.0,CB,750000.0,Browns,2020
Curtis Weaver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Greedy Williams,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Jedrick Wills Jr.,,Q,,,,,,,,,,,,21.0,OL,,Browns,2020
Mack Wilson,O,O,Q,,,,,,,Q,,,,22.0,LB,675000.0,Browns,2020
Trevon Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
