Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Johnthan Banks,,,,D,D,P,,,,,,,,,,,26.0,rcb,1288997.0,Buccaneers,2015
Kenny Bell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2015
Da'Quan Bowers,,,,,,,,,,,,,,,,P,,,,Buccaneers,2015
Kourtnei Brown,,,,,,,,,,,,,,,D,P,,,,Buccaneers,2015
Bruce Carter,,Q,,,,Q,,,,,,D,P,D,P,,,,,Buccaneers,2015
Chris Conte,,,,P,,P,,,,,,,,,IR,O,26.0,SS,1500000.0,Buccaneers,2015
Lavonte David,,,,,,,,,,,,,Q,P,,,,,,Buccaneers,2015
Evan Dietrich-Smith,,,D,D,D,Q,P,,,Q,P,,,,,,29.0,rg,3750000.0,Buccaneers,2015
Demar Dotson,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,,,,,,Buccaneers,2015
Kadeem Edwards,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2015
Larry English,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2015
T.J. Fatinikun,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2015
Reid Fragel,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2015
William Gholston,,,,,,,,Q,,,,,P,,,P,24.0,LDE,685136.0,Buccaneers,2015
Vincent Jackson,,,,,,,D,O,O,Q,,P,P,IR,IR,IR,32.0,WR,12209777.0,Buccaneers,2015
George Johnson,P,,,Q,,P,,,,O,O,O,D,Q,P,,28.0,lde,2750000.0,Buccaneers,2015
Danny Lansanah,,Q,,,,,,,,,,,,,,,30.0,LLB,660000.0,Buccaneers,2015
Ali Marpet,,,,,,,,,O,Q,Q,P,,,,,22.0,RG,686106.0,Buccaneers,2015
Doug Martin,,,,Q,,,,,,,,,,,,,,,,Buccaneers,2015
Gerald McCoy,,,Q,Q,Q,P,P,P,P,,,D,Q,P,P,,,,,Buccaneers,2015
Tony McDaniel,,,,,,O,O,Q,P,,,,,,,,,,,Buccaneers,2015
Clinton McDonald,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,28.0,rdt,3250000.0,Buccaneers,2015
Bradley McDougald,,,,,,,,,Q,,,,,,,,25.0,FS,585000.0,Buccaneers,2015
Louis Murphy,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2015
Austin Seferian-Jenkins,,,O,D,D,O,D,Q,Q,Q,D,Q,,,,,,,,Buccaneers,2015
Russell Shepard,,,,,D,Q,P,,,,,,,,,,,,,Buccaneers,2015
Josh Shirley,,,,,,,,,,D,P,,,,,,,,,Buccaneers,2015
Donovan Smith,,,,Q,,,,,,,,,,,,,22.0,LT,1103429.0,Buccaneers,2015
Jacquies Smith,,,,,,,,O,O,Q,,O,O,Q,,,25.0,RDE,510000.0,Buccaneers,2015
Akeem Spence,IR,IR,IR,IR,IR,,,,,,,,,IR,O,IR,24.0,RDT,671659.0,Buccaneers,2015
Luke Stocker,,,,D,Q,P,,,,,,Q,,,,,27.0,TE,1500000.0,Buccaneers,2015
D.J. Swearinger,,,Q,,,,,Q,D,,,,,,,,,,,Buccaneers,2015
Keith Tandy,,,,,,,,,,,O,P,,,,,,,,Buccaneers,2015
Major Wright,,O,D,Q,P,,D,O,Q,P,,,,,,IR,,,,Buccaneers,2015
