Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Antony Auclair,,O,IR,IR,IR,IR,IR,IR,,,,,,27.0,TE,825000.0,Buccaneers,2020
Jack Cichy,,,,,IR,IR,IR,IR,,,,,,,,,Buccaneers,2020
Carlton Davis,,,,,,Q,,,,Q,,,,24.0,CB,879374.0,Buccaneers,2020
Khalil Davis,,,,,,Q,,,,,,,,24.0,DL,610000.0,Buccaneers,2020
Jamel Dean,,,,,,,,,,,,O,,24.0,CB,675000.0,Buccaneers,2020
Justin Evans,PUP,,,,,,PUP,,,,,,,,,,Buccaneers,2020
Mike Evans,D,,,,Q,,,,,,,,,27.0,WR,4000000.0,Buccaneers,2020
Leonard Fournette,,,,O,D,Q,,,,,,,,25.0,RB,2000000.0,Buccaneers,2020
John Franklin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020
William Gholston,,,,,,,,,C19,,,,,29.0,DE,4750000.0,Buccaneers,2020
Chris Godwin,,D,,O,O,,,O,Q,,,,,24.0,WR,2133000.0,Buccaneers,2020
O.J. Howard,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020
Tanner Hudson,,,,,,,,,,,O,O,,26.0,TE,595588.0,Buccaneers,2020
John Hurst,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Buccaneers,2020
T.J. Logan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,IR,,,,Buccaneers,2020
Ali Marpet,,,,,,,,,O,Q,D,Q,,27.0,C,5125000.0,Buccaneers,2020
LeSean McCoy,,,,,O,,,,,,,,,32.0,RB,1050000.0,Buccaneers,2020
John Molchon,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Buccaneers,2020
Brad Seaton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020
A.Q. Shipley,,,,,,,,,,,,O,IR,,,,Buccaneers,2020
Donovan Smith,,,,,,,,,,,,Q,,27.0,OT,14500000.0,Buccaneers,2020
Vita Vea,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020
Justin Watson,,,O,,O,,,,,,,,,24.0,WR,750000.0,Buccaneers,2020
