Player ,09/13vs. NOR,09/20vs. CHI,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Deone Bucannon,,Q,P,,,,,P,,,Q,,,,,,23.0,RILB,1752091.0
Gerald Christian,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chris Clemons,,,,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Jonathan Cooper,,,,,,,,,,D,Q,P,,,,,25.0,RG,3967910.0
Kenny Demens,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Andre Ellington,,O,D,Q,P,,,,,,,O,O,Q,Q,P,,,
Darren Fells,,,,,Q,P,O,O,P,,,,,,,,29.0,TE,510000.0
Dwight Freeney,,,,,,,,P,,,,,,,,Q,,,
Markus Golden,,,,,,,,,,Q,,,,,,O,24.0,rolb,712424.0
Jermaine Gresham,Q,P,,,,,,,,,,,D,Q,P,,27.0,TE,3109375.0
Mike Iupati,O,O,Q,P,,Q,,,,Q,P,,,,,,,,
Chris Johnson,,,,,,,,,,,P,IR,IR,IR,IR,IR,30.0,RB,585000.0
David Johnson,,,,,,,,,,,,,,,,,24.0,rb,594843.0
Tyrann Mathieu,,,,,,P,,,,,,,,,IR,IR,,,
Josh Mauro,,,,,,,,,,,,,,,O,O,,,
Ifeanyi Momah,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
JJ Nelson,,,O,O,Q,P,,,,,,,,,,,,,
Alex Okafor,,,P,P,,O,O,O,P,,,,,,,,24.0,ROLB,703607.0
Corey Peters,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Damond Powell,,,,,,,,,,,,,,,,,,,
Jerraud Powers,,,,,,,,Q,P,,,O,O,Q,P,P,28.0,RCB,5350000.0
Cory Redding,,,,,,,P,,,O,O,D,Q,D,Q,P,,,
Frostee Rucker,,,,,P,,P,P,,,O,O,O,Q,Q,Q,32.0,RDE,2181875.0
Earl Watford,,,,,,,,,,,,,IR,IR,IR,IR,,,
LaMarr Woodley,,,P,P,P,Q,P,,,,IR,IR,IR,IR,IR,IR,31.0,LOLB,665000.0
