Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Robert Alford,,,,,,,,,,,IR,,,,,,Cardinals,2020.0
Zach Allen,,,,,,,,IR,IR,,IR,,,23.0,DL,690171.0,Cardinals,2020.0
Budda Baker,,,,O,,,,,Q,,,,,24.0,FS,1000000.0,Cardinals,2020.0
Chris Banjo,,,,O,Q,,,,,,,,,30.0,S,1050000.0,Cardinals,2020.0
De'Vondre Campbell,,,,,,,,,,Q,,,,27.0,OLB,1000000.0,Cardinals,2020.0
Mason Cole,,O,O,Q,,,,,,,,,,24.0,C,750000.0,Cardinals,2020.0
Darrell Daniels,,,,,Q,,,,,Q,O,IR,IR,,,,Cardinals,2020.0
Kenyan Drake,,,,,,,,O,Q,,,,,26.0,RB,8483000.0,Cardinals,2020.0
Kylie Fitts,,Q,,,,O,Q,,,,,,,26.0,DE,750000.0,Cardinals,2020.0
Leki Fotu,,,,,,,,,O,IR,IR,IR,,22.0,DL,610000.0,Cardinals,2020.0
Dennis Gardeck,,,,Q,,Q,Q,,,,,,,26.0,LB,750000.0,Cardinals,2020.0
Marcus Gilbert,IR,,,,,,,,,,IR,,,,,,Cardinals,2020.0
DeAndre Hopkins,,,,Q,,,Q,,,,,,,28.0,WR,1500000.0,Cardinals,2020.0
D.J. Humphries,,,,,,Q,,,,,,,,27.0,OT,910000.0,Cardinals,2020.0
Isaiah Irving,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Cardinals,2020.0
Chandler Jones,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cardinals,2020.0
Josh Jones,O,Q,,,,,,,,,,,,23.0,OL,610000.0,Cardinals,2020.0
Johnathan Joseph,,,,,,,,,,,,,IR,,,,Cardinals,2020.0
Devon Kennard,,,,Q,O,Q,,C19,C19,,,,,29.0,OLB,1000000.0,Cardinals,2020.0
Christian Kirk,,,O,Q,,,,,,,,,,24.0,WR,1015897.0,Cardinals,2020.0
Dre Kirkpatrick,,,Q,Q,,,Q,O,Q,,,,,31.0,CB,1050000.0,Cardinals,2020.0
Rashard Lawrence,,,,,,IR,IR,IR,IR,IR,IR,,,22.0,DL,461763.0,Cardinals,2020.0
Josh Mauro,,,,,,,,,,,O,IR,IR,,,,Cardinals,2020.0
Justin Murray,,,,,,,,,O,O,Q,,,27.0,T,750000.0,Cardinals,2020.0
Corey Peters,,,,,,,,,,IR,IR,IR,IR,,,,Cardinals,2020.0
Kevin Peterson,,,,,,,,,IR,IR,IR,IR,IR,26.0,CB,750000.0,Cardinals,2020.0
Jordan Phillips,,,Q,,Q,,Q,Q,O,O,IR,IR,IR,28.0,DT,2000000.0,Cardinals,2020.0
J.R. Sweezy,,,,,,IR,IR,IR,IR,,,,,31.0,G,3500000.0,Cardinals,2020.0
Deionte Thompson,,,,,,,,,Q,,C19,C19,,23.0,S,675000.0,Cardinals,2020.0
Jalen Thompson,,IR,IR,IR,IR,IR,IR,IR,,,O,,,,,,Cardinals,2020.0
Brett Toth,IR,IR,IR,IR,IR,,,,,,,,,,,,Cardinals,2020.0
Charles Washington,,,,,,,,,,Q,Q,,,27.0,DB,825000.0,Cardinals,2020.0
Maxx Williams,,O,IR,IR,IR,IR,IR,IR,Q,Q,,,,26.0,TE,2850000.0,Cardinals,2020.0
Dave Zastudil,,,,P,P,,,,,,,,,,,,,
