Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Nasir Adderley,,,,,D,D,O,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2019
Michael Badgley,D,Q,Q,O,D,D,Q,Q,,,,,,,,,,,,Chargers,2019
Travis Benjamin,,,,D,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2019
Cortez Broughton,,,,,,,,O,O,O,IR,IR,IR,IR,IR,IR,,,,Chargers,2019
Jatavis Brown,D,Q,,,,,,,,,,,,,,,,,,Chargers,2019
Dylan Cantrell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2019
Sean Culkin,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2019
Geremy Davis,D,Q,,,,,,,Q,D,D,IR,IR,IR,IR,IR,,,,Chargers,2019
Michael Davis,,D,D,,,,,,,,,,,,,,24.0,LCB,645000.0,Chargers,2019
Thomas Davis,,,,,Q,,,,,,,,,,,,36.0,LLB,1250000.0,Chargers,2019
Nick Dzubnar,,,,,,,,,,,,,Q,,,,,,,Chargers,2019
Virgil Green,,,,O,Q,,,,,,,,,,,,,,,Chargers,2019
Hunter Henry,,O,O,O,O,Q,,,,,,,,,,,25.0,TE,1170042.0,Chargers,2019
Melvin Ingram,,,,,Q,Q,D,Q,,,,,,,,,,,,Chargers,2019
Dontrelle Inman,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,Chargers,2019
Justin Jackson,,,,O,D,D,O,Q,,D,D,,,,Q,,,,,Chargers,2019
Derwin James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,23.0,fs,1043134.0,Chargers,2019
Tre'von Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,Chargers,2019
Justin Jones,,,,,,,O,O,D,O,,,,,,,23.0,LDT,621481.0,Chargers,2019
Desmond King,,,,,,,,,,,,,,O,,,25.0,DB,645000.0,Chargers,2019
Forrest Lamp,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2019
Koda Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2019
Vince Mayle,IR,IR,,,,,,,,,,,,,,,,,,Chargers,2019
Brandon Mebane,,,,,,,O,O,D,Q,,,,,,,34.0,NT,1050000.0,Chargers,2019
Russell Okung,IR,IR,IR,IR,IR,IR,IR,IR,,,Q,Q,,,D,O,31.0,lt,13000000.0,Chargers,2019
Andre Patton,,,,,,D,,,,,,,,,,,25.0,WR,495000.0,Chargers,2019
Denzel Perryman,Q,Q,,,,,,,,Q,,,O,,,,27.0,MLB,850000.0,Chargers,2019
Adrian Phillips,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,27.0,db,1500000.0,Chargers,2019
Mike Pouncey,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,30.0,c,6000000.0,Chargers,2019
Damion Square,,,,,,,,,Q,,,,,,,,,,,Chargers,2019
Roderic Teamer,D,Q,,,,,,,D,D,Q,,O,,,,22.0,FS,495000.0,Chargers,2019
Sam Tevi,,,,,,,,,,Q,O,Q,,,,,25.0,RT,645000.0,Chargers,2019
Drue Tranquill,Q,,,Q,,,,,,,Q,,,,,,,,,Chargers,2019
Andrew Vollert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2019
Derek Watt,,,,,,,,Q,,,,,,,,,,,,Chargers,2019
Mike Williams,,Q,,O,Q,,,,,,,,,,,,25.0,WR,2260448.0,Chargers,2019
Trevor Williams,O,IR,IR,IR,IR,IR,,,,,,,,,,,,,,Chargers,2019
