Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Asmar Bilal,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Chargers,2020
Joey Bosa,,,,,Q,,,D,O,,,,,25.0,DE,1000000.0,Chargers,2020
Bryan Bulaga,Q,,Q,O,O,Q,Q,,Q,,,,,31.0,T,1500000.0,Chargers,2020
Austin Ekeler,,,,,IR,IR,IR,IR,IR,IR,IR,,,25.0,RB,1500000.0,Chargers,2020
Virgil Green,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2020
Chris Harris Jr.,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,31.0,CB,2000000.0,Chargers,2020
Casey Hayward,,,,,,,,Q,,,O,,,31.0,DB,9750000.0,Chargers,2020
Melvin Ingram,,,D,IR,IR,IR,,,,,O,IR,IR,,,,Chargers,2020
Justin Jackson,,D,D,,,Q,,,IR,IR,IR,IR,IR,24.0,RB,750000.0,Chargers,2020
Derwin James,,,,,,,,,,,IR,,IR,,,,Chargers,2020
Justin Jones,,,O,IR,IR,IR,,,,,,,,24.0,DT,679412.0,Chargers,2020
Desmond King,,,,,,,O,,,,,,,,,,Chargers,2020
Storm Norton,,,,Q,,D,Q,,,,,,,26.0,OT,675000.0,Chargers,2020
Uchenna Nwosu,,,,,,,,,,,O,,,24.0,OLB,1003598.0,Chargers,2020
Troymaine Pope,,,,,,,,D,Q,,,,,27.0,RB,,Chargers,2020
Mike Pouncey,O,IR,IR,IR,IR,,,,,,IR,,,,,,Chargers,2020
Isaac Rochell,,,,,,,,Q,,,,,,25.0,DE,825000.0,Chargers,2020
Tyrod Taylor,,,O,O,O,Q,Q,,,Q,,,,31.0,QB,5000000.0,Chargers,2020
Drue Tranquill,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2020
Trai Turner,Q,,Q,O,O,O,O,Q,Q,,,,,27.0,OG,8500000.0,Chargers,2020
Nick Vigil,,,D,Q,,,,,,,,,,27.0,ILB,1900000.0,Chargers,2020
Mike Williams,Q,,,O,Q,,,,,,,,,26.0,WR,825000.0,Chargers,2020
