Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Artie Burns,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020
Deon Bush,,,,,O,O,Q,,,C19,,,,27.0,FS,1262500.0,Bears,2020
DeAndre Carter,,,,,,,,,,,,,C19,,,,Bears,2020
Darion Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020
Tarik Cohen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020
Rashaad Coward,,,,,,,Q,,,,Q,,,26.0,DT,825000.0,Bears,2020
James Daniels,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020
Mario Edwards,,,Q,,,,,,,,,,,26.0,DE,910000.0,Bears,2020
Nick Foles,,,,,,,,,,,D,,,31.0,QB,4000000.0,Bears,2020
Eddie Goldman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020
Dwayne Harris,,,,,,,,,,,IR,IR,IR,,,,Bears,2020
Akiem Hicks,,,,,,,,,,,Q,,,31.0,DE,10200000.0,Bears,2020
Germain Ifedi,Q,,,,,,,,C19,,,,,26.0,OT,910000.0,Bears,2020
John Jenkins,,,IR,IR,IR,IR,,,O,O,,,,31.0,DT,1050000.0,Bears,2020
Michael Joseph,IR,IR,IR,IR,IR,IR,IR,C19,C19,IR,IR,IR,IR,,,,Bears,2020
Jordan Lucas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020
Khalil Mack,Q,Q,Q,Q,,,Q,Q,,,,,,29.0,OLB,13300000.0,Bears,2020
Bobby Massie,,,,,,,,,IR,IR,IR,IR,IR,,,,Bears,2020
Sherrick McManis,,,,D,D,Q,O,Q,,O,Q,,,33.0,DB,1050000.0,Bears,2020
Barkevious Mingo,,,,,,,,,,Q,,,,30.0,OLB,1050000.0,Bears,2020
David Montgomery,Q,,,,,,,,,O,,,,23.0,RB,684136.0,Bears,2020
Darnell Mooney,,,,,Q,,,,,,,,,23.0,WR,610000.0,Bears,2020
Sam Mustipher,,,,,,,,,O,D,,,,24.0,C,430584.0,Bears,2020
Eddy Pineiro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020
Robert Quinn,D,Q,,,,,,,,,,,,30.0,DE,3000000.0,Bears,2020
Tre Roberson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bears,2020
Roy Robertson-Harris,,,,,,,,,O,IR,IR,IR,IR,,,,Bears,2020
Buster Skrine,Q,,,,,,Q,,,,Q,,,31.0,DB,4650000.0,Bears,2020
Jason Spriggs,Q,,,,,,Q,,C19,C19,,,,26.0,OT,825000.0,Bears,2020
Mitchell Trubisky,,,,,,,,,O,O,,,,26.0,QB,825000.0,Bears,2020
Brent Urban,,,,,,Q,,,,,,,,29.0,DE,910000.0,Bears,2020
Cody Whitehair,,,,,,,,O,C19,C19,,,,28.0,OG,1100000.0,Bears,2020
