Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Allen Bailey,,,,,,,,,,O,Q,,,,,,28.0,RDE,3900000.0,Chiefs,2017
Isaiah Battle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2017
Eric Berry,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2017
Reshard Cliett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2017
Chris Conley,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,25.0,wr,635000.0,Chiefs,2017
Laurent Duvernay-Tardif,,,,,O,O,O,Q,,,,,,,,,26.0,RG,690000.0,Chiefs,2017
Parker Ehinger,D,D,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Chiefs,2017
Dee Ford,,,,O,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,26.0,rolb,957704.0,Chiefs,2017
Antwan Goodley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2017
Tamba Hali,IR,IR,IR,IR,IR,IR,IR,IR,,O,Q,Q,Q,Q,,Q,,,,Chiefs,2017
Tyreek Hill,,,,,,,,,,,,,,,,O,,,,Chiefs,2017
Justin Houston,,,,,,,,Q,Q,,,,,,Q,,28.0,LOLB,16350000.0,Chiefs,2017
Ashton Lampkin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2017
Bennie Logan,,,,,,,,,,,,,,,,D,28.0,NT,6680000.0,Chiefs,2017
Mitch Morse,,,O,O,O,O,O,,,,,,IR,O,IR,IR,25.0,c,834826.0,Chiefs,2017
Eric Murray,,,,,,,,,,,,O,O,Q,,,,,,Chiefs,2017
Steven Nelson,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,24.0,rcb,618500.0,Chiefs,2017
Dadi Nicolas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2017
Rakeem Nunez-Roches,,,,,,,,,,,,,,,,Q,24.0,LDE,615000.0,Chiefs,2017
Reggie Ragland,D,D,,,,,,,,,,,,,,,24.0,LILB,715517.0,Chiefs,2017
Cairo Santos,,,,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,,,,Chiefs,2017
Terrance Smith,,,,,,,,,,,O,,,,,,,,,Chiefs,2017
Steven Terrell,,,,,,O,,,,,,,,IR,IR,IR,,,,Chiefs,2017
De'Anthony Thomas,,,,,,,,,,,,,,,,,,,,Chiefs,2017
Spencer Ware,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2017
Charcandrick West,,,,,,,O,,,,,O,,,,Q,,,,Chiefs,2017
Albert Wilson,,,,,,,Q,,O,O,Q,Q,,,,,25.0,WR,1797000.0,Chiefs,2017
