Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Alex Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020
Taco Charlton,,,,,,,O,,,IR,IR,IR,IR,,,,Chiefs,2020
Frank Clark,,,,,,,,,Q,,,,,27.0,DE,12000000.0,Chiefs,2020
Michael Danna,,,,,O,IR,IR,IR,,,,,,23.0,DE,572941.0,Chiefs,2020
Laurent Duvernay-Tardif,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020
Eric Fisher,,,,,,,,,,C19,,,,29.0,OT,8750000.0,Chiefs,2020
Chris Jones,,,,Q,,,,,C19,,,,,26.0,DT,16126000.0,Chiefs,2020
Lucas Niang,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020
Dorian O'Daniel,,,Q,,,,,,,,,IR,IR,,,,Chiefs,2020
Alex Okafor,,O,O,,,,O,IR,IR,IR,,,,29.0,DE,2000000.0,Chiefs,2020
Kelechi Osemele,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020
Byron Pringle,,,,,,,,,,,IR,IR,IR,,,,Chiefs,2020
Martinas Rankin,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,26.0,OT,591180.0,Chiefs,2020
Khalen Saunders,,O,IR,IR,IR,IR,IR,,,,,,,24.0,DT,439706.0,Chiefs,2020
Mitchell Schwartz,,,,,,,O,O,O,O,IR,IR,IR,,,,Chiefs,2020
L'Jarius Sneed,,,,IR,IR,IR,IR,IR,IR,IR,,,,23.0,S,437058.0,Chiefs,2020
Charvarius Ward,,O,Q,,,,,,,,,,,24.0,DB,750000.0,Chiefs,2020
Sammy Watkins,,,Q,,,,O,O,Q,Q,,,,27.0,WR,7000000.0,Chiefs,2020
Damien Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020
