Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Mo Alie-Cox,,,,,,,,,,,Q,O,O,,,,,,,Colts,2018
Denico Autry,,O,O,,,O,O,,,,,,Q,,,,28.0,RDT,3000000.0,Colts,2018
Deon Cain,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Johnathan Calvin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Anthony Castonzo,Q,O,O,O,Q,,,,,,,,,,,,30.0,LT,6000000.0,Colts,2018
Chris Cooper,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Jack Doyle,,,O,O,O,O,O,,,,,IR,IR,IR,IR,IR,28.0,te,3900000.0,Colts,2018
Matthias Farley,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Josh Ferguson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Daurice Fountain,,,,,,,,,,,,,,,,O,,,,Colts,2018
Clayton Geathers,,Q,Q,Q,Q,O,O,Q,,,,,,Q,O,Q,26.0,SS,705000.0,Colts,2018
Jeremiah George,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Mark Glowinski,,,,,,,,,,,,,,O,Q,,26.0,RG,1219000.0,Colts,2018
Denzelle Good,O,O,,,O,O,IR,IR,Q,IR,IR,IR,,,IR,,,,,Colts,2018
Ryan Grant,,,,,,,O,O,Q,,,,,,,,28.0,WR,1000000.0,Colts,2018
Joe Haeg,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,25.0,t,630000.0,Colts,2018
Matt Hazel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Ryan Hewitt,,,,,,,,,O,O,O,,,Q,,,,,,Colts,2018
T.Y. Hilton,,,,,O,O,,,,,,,Q,Q,Q,Q,29.0,WR,11000000.0,Colts,2018
Malik Hooker,,,,,,,,O,,Q,,,,,,,22.0,FS,1037723.0,Colts,2018
Austin Howard,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,,,IR,IR,,,,Colts,2018
Margus Hunt,,,,,,Q,,,,,,,Q,,,,31.0,RDE,1500000.0,Colts,2018
Dontrelle Inman,,,,,,,,,,,,,O,,,Q,,,,Colts,2018
Robert Jackson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Anthony Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Marcus Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Brad Kaaya,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Ryan Kelly,,,,,Q,Q,,,,,O,O,O,,,O,25.0,C,1400089.0,Colts,2018
D.J. Killings,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Darius Leonard,,,,,Q,Q,,,,,,Q,,,,,,,,Colts,2018
Tyquan Lewis,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,23.0,lde,363000.0,Colts,2018
Kolby Listenbee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Marlon Mack,Q,Q,O,Q,O,,,Q,,,,Q,,,,,22.0,RB,555000.0,Colts,2018
Ronald Martin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Chris McCain,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Christopher Milton,,O,Q,,,,Q,,,,,,Q,,,,,,,Colts,2018
Mike Mitchell,,,,,,Q,,,O,,,Q,O,O,Q,,,,,Colts,2018
Kenny Moore,,,,,O,,,,,,,,,,,,23.0,LCB,555000.0,Colts,2018
Skai Moore,,,,,,,,,,,,,,IR,IR,IR,,,,Colts,2018
George Odum,,,,,,,,,,,,,,,Q,,,,,Colts,2018
Carroll Phillips,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2018
Hassan Ridgeway,,,O,O,O,,,,,,,,,,,,,,,Colts,2018
Jabaal Sheard,,,,,,,,Q,,,,,,,,Q,29.0,LDE,7000000.0,Colts,2018
Matt Slauson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,32.0,rg,1000000.0,Colts,2018
