Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Matthew Adams,Q,,O,IR,IR,IR,IR,IR,C19,C19,,,,25.0,LB,644118.0,Colts,2020
Mo Alie-Cox,,,,,,O,Q,Q,Q,,,,,27.0,TE,750000.0,Colts,2020
Bruce Anderson,IR,IR,IR,IR,,,,,,,,,,,,,Colts,2020
Denico Autry,,,,,,Q,,,,C19,C19,C19,,30.0,DE,5300000.0,Colts,2020
Julian Blackmon,O,Q,,,,,,,,,,,,22.0,S,610000.0,Colts,2020
DeForest Buckner,,,,,,,,,,,C19,C19,,26.0,DT,12378000.0,Colts,2020
Trey Burton,IR,IR,IR,IR,,,,,,,,,,29.0,TE,910000.0,Colts,2020
Parris Campbell,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2020
T.J. Carrie,,,,O,,,,,,,,,,30.0,CB,910000.0,Colts,2020
Anthony Castonzo,,,,,O,Q,,,,,,,,32.0,LT,7000000.0,Colts,2020
Le'Raven Clark,,,,,,,,,,,,,IR,,,,Colts,2020
Sheldon Day,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Colts,2020
Jack Doyle,,O,Q,,,,,,O,Q,,,,30.0,TE,1250000.0,Colts,2020
Ashton Dulin,,,,,,,,O,IR,IR,IR,,,23.0,WR,542648.0,Colts,2020
Chaz Green,,,,,,O,,,,,,,,28.0,OT,910000.0,Colts,2020
T.Y. Hilton,,,,,,,,D,,,,,,31.0,WR,14542000.0,Colts,2020
Malik Hooker,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2020
Justin Houston,,Q,,,,Q,,,,,,,,31.0,LOLB,8000000.0,Colts,2020
Darius Leonard,,,,,O,D,,,,,,,,25.0,LB,1138891.0,Colts,2020
Marlon Mack,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2020
Rolan Milligan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2020
Skai Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2020
Quenton Nelson,,,,,,,,,,,Q,,,24.0,OG,750000.0,Colts,2020
Bobby Okereke,,,,,,,,,,,O,,,24.0,LB,675000.0,Colts,2020
Michael Pittman Jr.,,Q,,IR,IR,IR,IR,,,,,,,23.0,WR,,Colts,2020
Braden Smith,,,,,,,,,,Q,,,,24.0,OG,1133972.0,Colts,2020
Marvell Tell III,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2020
Noah Togiai,,,,,,,,,,Q,,IR,IR,,,,Colts,2020
Kemoko Turay,PUP,PUP,PUP,PUP,PUP,PUP,,,,Q,,,,25.0,OLB,954400.0,Colts,2020
Rock Ya-Sin,,,O,,,,,,,,,,,24.0,CB,854839.0,Colts,2020
