Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Chidobe Awuzie,,,O,IR,IR,IR,IR,IR,IR,IR,,,C19,25.0,CB,1049126.0,Cowboys,2020
Tyler Biadasz,,,,,,,,,,O,IR,IR,IR,23.0,OL,610000.0,Cowboys,2020
Anthony Brown,,IR,IR,IR,IR,,,,,,Q,,,27.0,CB,1750000.0,Cowboys,2020
Ventell Bryant,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Cowboys,2020
Maurice Canady,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
La'el Collins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Andy Dalton,,,,,,,,O,C19,C19,,,,33.0,QB,1000000.0,Cowboys,2020
Trevon Diggs,,,,Q,,,,,,IR,IR,IR,IR,,,,Cowboys,2020
Cameron Erving,,IR,IR,IR,IR,IR,IR,,,,,,IR,,,,Cowboys,2020
Travis Frederick,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Cowboys,2020
Randy Gregory,,,,,,,,,,Q,,,,28.0,DE,825000.0,Cowboys,2020
Stephen Guidry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Trysten Hill,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Mitch Hyatt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Blake Jarwin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Chris Jones,,,,,,,,,IR,IR,IR,IR,IR,,,,Cowboys,2020
Azur Kamara,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Brandon Knight,,,,,,,IR,IR,IR,IR,,,,23.0,T,513236.0,Cowboys,2020
DeMarcus Lawrence,,,Q,,,,,,,Q,,,,28.0,DE,1900000.0,Cowboys,2020
Sean Lee,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,34.0,MLB,2000000.0,Cowboys,2020
Jourdan Lewis,O,,,,,,,,,,,,,25.0,CB,2133000.0,Cowboys,2020
Joe Looney,,,,,IR,IR,IR,IR,,,,,,30.0,G,2300000.0,Cowboys,2020
Zack Martin,,,,,,,O,,,,,IR,IR,,,,Cowboys,2020
Jamize Olawale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Steven Parker,,,,,,,,,,,,IR,IR,,,,Cowboys,2020
Dak Prescott,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Aldon Smith,,,,,,,,,Q,,,,,31.0,DE,910000.0,Cowboys,2020
Tyron Smith,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Leighton Vander Esch,,IR,IR,IR,IR,IR,,,,,,,,24.0,OLB,1557071.0,Cowboys,2020
