Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Jay Ajayi,,Q,Q,,,,,,,,,,,,,,24.0,RB,615000.0,Dolphins,2017
Chase Allen,,,Q,,,,,,,,,,,,,,,,,Dolphins,2017
Nate Allen,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,30.0,fs,1400000.0,Dolphins,2017
Kiko Alonso,,,Q,,,,,,,,,,,,,,27.0,LOLB,1075000.0,Dolphins,2017
Stephone Anthony,,,,,,,,,,,Q,,,,,,,,,Dolphins,2017
Isaac Asiata,,,Q,,,,,,,,,,,,,,,,,Dolphins,2017
Lamin Barrow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Andre Branch,,,,,,Q,Q,Q,,,,,,Q,Q,,28.0,LDE,2900000.0,Dolphins,2017
Jermon Bushrod,,,,,,,,Q,,,IR,IR,IR,IR,IR,IR,33.0,RG,1475000.0,Dolphins,2017
Leonte Carroo,,,,,,,,,,,,,,,,IR,,,,Dolphins,2017
Jay Cutler,,,,,,,O,Q,,,O,,,,,,34.0,QB,5000000.0,Dolphins,2017
John Denney,,,Q,,,,,,,,,,,,,,,,,Dolphins,2017
Terrence Fede,,,,Q,,,,,,,,,,,Q,,,,,Dolphins,2017
Isaiah Ford,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Davon Godchaux,,,,,,,,,,,,Q,Q,,,,23.0,rdt,465000.0,Dolphins,2017
Jakeem Grant,,,Q,,,,,,Q,,,,,,,,,,,Dolphins,2017
MarQueis Gray,,,,,,,,,,,,,,,,Q,,,,Dolphins,2017
Charles Harris,,,,,,,,,,,,,,,,Q,,,,Dolphins,2017
William Hayes,,,,,,,,Q,,Q,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Neville Hewitt,,,,,,,,,,,,,,,,Q,,,,Dolphins,2017
Xavien Howard,,,,Q,Q,Q,,,,,,,,Q,,,24.0,RCB,728547.0,Dolphins,2017
Mike Hull,,,,Q,,,,,Q,,,,,,,,,,,Dolphins,2017
Ja'Wuan James,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,25.0,RT,1569327.0,Dolphins,2017
Jarvis Landry,Q,Q,,,,,,,,,,,,,,,,,,Dolphins,2017
Ted Larsen,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,,,,30.0,LG,975000.0,Dolphins,2017
Tony Lippett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Rey Maualuga,O,O,Q,,,,,,,,,,,,,,30.0,MLB,900000.0,Dolphins,2017
Byron Maxwell,,,,Q,Q,Q,,,,,,,,,,,,,,Dolphins,2017
Bobby McCain,,,,,,,,,Q,,,,,,,,24.0,db,615000.0,Dolphins,2017
T.J. McDonald,,,,,,,,,,,,,,,Q,Q,26.0,FS,944445.0,Dolphins,2017
Raekwon McMillan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Koa Misi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Matt Moore,,,,,,,,,,,,O,O,D,D,D,,,,Dolphins,2017
DeVante Parker,,Q,,,D,D,Q,Q,,,,,,,Q,Q,24.0,WR,1423776.0,Dolphins,2017
Senorise Perry,,,,,,,,,,Q,,Q,,,,,,,,Dolphins,2017
Jordan Phillips,,D,D,Q,,,Q,,,,,,,Q,,,25.0,RDT,831628.0,Dolphins,2017
Mike Pouncey,,,,,,Q,,,,,,,,,,,28.0,C,7950000.0,Dolphins,2017
Rashawn Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Eric Smith,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Maurice Smith,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Anthony Steen,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,27.0,lg,615000.0,Dolphins,2017
Kenny Stills,,,Q,,,,,,,Q,,,,,,,25.0,WR,1975000.0,Dolphins,2017
Cordrea Tankersley,,,,,,,,,,,,,D,D,Q,,24.0,LCB,465000.0,Dolphins,2017
Ryan Tannehill,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
Vincent Taylor,,,,,,,,,,,,,,,,IR,,,,Dolphins,2017
Julius Thomas,,,,,,,,,,,,,,,IR,IR,29.0,TE,5500000.0,Dolphins,2017
Michael Thomas,,,,,,,,,Q,Q,,Q,Q,IR,IR,Q,,,,Dolphins,2017
Laremy Tunsil,,,,,,,Q,,,,Q,,,,,D,23.0,LT,1016257.0,Dolphins,2017
Alterraun Verner,,,Q,,,,,,,,,,,,,Q,,,,Dolphins,2017
Cameron Wake,,,,,,,,,,,,,,,,Q,35.0,RDE,6875000.0,Dolphins,2017
Damien Williams,,Q,,,,,,,Q,,,O,O,D,D,D,,,,Dolphins,2017
Avery Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Dolphins,2017
