Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Nelson Agholor,,,,,,O,O,Q,P,,,P,,,,,22.0,WR,1704977.0,Eagles,2015
Seyi Ajirotutu,,O,P,,,,,,,,,P,,,Q,O,,,,Eagles,2015
Kiko Alonso,,,O,O,O,O,O,P,P,,P,,,,,,,,,Eagles,2015
Josh Andrews,,,,,,,,,O,P,,,,,,,,,,Eagles,2015
Brandon Bair,,,,,O,O,Q,P,,,,,,,,,,,,Eagles,2015
Connor Barwin,,,,,,,,,,P,P,,,,,,29.0,LOLB,7000000.0,Eagles,2015
Sam Bradford,,,,,,,,,,O,Q,P,P,P,P,,28.0,QB,12985000.0,Eagles,2015
Nolan Carroll,,,,,,,,,,,,IR,IR,IR,IR,IR,28.0,RCB,2900000.0,Eagles,2015
Jerome Couplin,,,,,,,,,IR,O,IR,IR,IR,IR,IR,IR,,,,Eagles,2015
Zach Ertz,Q,,,,,,,,,,O,P,P,,,,25.0,te,1467054.0,Eagles,2015
Andrew Gardner,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2015
Taylor Hart,,,O,O,P,,,,,,,,,,,,,,,Eagles,2015
Jordan Hicks,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,23.0,rilb,598183.0,Eagles,2015
Dennis Kelly,,,,,,,,,,,,P,,,,P,,,,Eagles,2015
Mychal Kendricks,,,O,Q,O,O,Q,,,,,,,,,,25.0,RILB,3014141.0,Eagles,2015
Bennie Logan,,,,,,,,,,,,,P,P,IR,O,26.0,NT,818523.0,Eagles,2015
Travis Long,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2015
Ryan Mathews,,,,,,Q,,Q,P,O,O,O,P,,,,28.0,rb,2000000.0,Eagles,2015
Byron Maxwell,,,,,P,,,,,,,,,P,Q,O,27.0,LCB,8700000.0,Eagles,2015
David Molk,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2015
DeMarco Murray,,,Q,Q,,,,,P,,,,,,,,27.0,RB,5000000.0,Eagles,2015
Cody Parkey,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2015
Jason Peters,,,,Q,Q,,,O,Q,Q,Q,Q,,,,,,,,Eagles,2015
DeMeco Ryans,,,,,,,Q,Q,P,P,P,,,,,,31.0,LILB,3000000.0,Eagles,2015
JaCorey Shepherd,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2015
Cedric Thornton,,,O,O,P,,,,,,P,Q,P,P,,,27.0,RDE,2356000.0,Eagles,2015
