Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
JJ Arcega-Whiteside,,,,D,,,,,,C19,C19,,,24.0,WR,720056.0,Eagles,2020
Genard Avery,,,,,,,,IR,IR,IR,IR,,,25.0,LB,573532.0,Eagles,2020
Derek Barnett,O,Q,,,,,,,,,,,,24.0,DE,2217378.0,Eagles,2020
Brandon Brooks,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,Eagles,2020
Jatavis Brown,S,IR,IR,IR,IR,IR,IR,,,,,,,,,,Eagles,2020
Fletcher Cox,,,Q,,,,,,,,,,,30.0,DT,4035000.0,Eagles,2020
Vinny Curry,,IR,IR,IR,IR,IR,,,,C19,C19,,,32.0,DE,1300000.0,Eagles,2020
Andre Dillard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2020
Jack Driscoll,,,,,,,O,O,,,,,,23.0,OL,610000.0,Eagles,2020
T.J. Edwards,,,,,IR,IR,IR,IR,,,,,,24.0,LB,,Eagles,2020
Marcus Epps,,,,,,O,,,C19,C19,,,,24.0,S,675000.0,Eagles,2020
Zach Ertz,,,,,,,O,IR,IR,IR,IR,,,30.0,TE,6660000.0,Eagles,2020
Rudy Ford,,,O,,IR,IR,IR,IR,,O,O,,,26.0,S,825000.0,Eagles,2020
Nathan Gerry,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Eagles,2020
Dallas Goedert,,,,IR,IR,IR,IR,IR,,,,,,25.0,TE,991297.0,Eagles,2020
Marquise Goodwin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2020
Brandon Graham,,Q,,,,,,,,,,,,32.0,DE,1360000.0,Eagles,2020
Daeshon Hall,//;90,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,Eagles,2020
Javon Hargrave,O,,,,,,,,,,,,,27.0,DT,1000000.0,Eagles,2020
DeSean Jackson,,,,O,O,O,,IR,IR,,,,,,,,Eagles,2020
Malik Jackson,,,,,,,O,,,,,,,30.0,DT,1050000.0,Eagles,2020
Craig James,,IR,IR,IR,IR,,,O,O,IR,IR,IR,IR,,,,Eagles,2020
Alshon Jeffery,O,O,O,O,O,O,O,O,,,,,,30.0,WR,9910000.0,Eagles,2020
Lane Johnson,Q,,,,,O,,,,,O,IR,IR,,,,Eagles,2020
Cre'von LeBlanc,,,,,,,,O,,,,,IR,,,,Eagles,2020
Avonte Maddox,,,,O,O,O,,,,,,,,24.0,CB,750000.0,Eagles,2020
Iosua Opeta,,,,,,,,,,,O,IR,IR,,,,Eagles,2020
Will Parks,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Eagles,2020
Joshua Perkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2020
Jason Peters,,,,Q,IR,IR,IR,IR,,,Q,,IR,,,,Eagles,2020
Matt Pryor,,,,,,C19,C19,,,,,,,26.0,OT,732353.0,Eagles,2020
Jalen Reagor,,,O,IR,IR,IR,IR,IR,,,,,,21.0,WR,560588.0,Eagles,2020
Hassan Ridgeway,,,,,,,,,IR,,,,,,,,Eagles,2020
Duke Riley,,,,,,O,,,,,,,,26.0,OLB,825000.0,Eagles,2020
Miles Sanders,O,,,,,,O,O,,,,,,23.0,RB,738647.0,Eagles,2020
Isaac Seumalo,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,27.0,OG,910000.0,Eagles,2020
Darius Slay,,,,,,Q,,,,,,,,29.0,CB,1050000.0,Eagles,2020
Davion Taylor,,,,,,,,,,,,,IR,,,,Eagles,2020
K'Von Wallace,,,,,,,O,,,,,,,23.0,S,610000.0,Eagles,2020
Quez Watkins,IR,IR,IR,IR,IR,,,,,,,,,22.0,WR,560587.0,Eagles,2020
Trevor Williams,,,,O,IR,IR,IR,,,,,,,,,,Eagles,2020
