Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Robert Alford,,,,,,,,O,,,,,,,,,30.0,LCB,9000000.0,Falcons,2018
Ricardo Allen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2018
Justin Bethel,,,,O,O,,,,,,,,,,,,,,,Falcons,2018
Matt Bryant,,,,,,,O,O,O,,,,Q,,,,,,,Falcons,2018
Devonta Freeman,,O,O,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2018
Brandon Fusco,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,30.0,RG,2250000.0,Falcons,2018
Russell Gage,,O,,,,,,,,,,,,,,,,,,Falcons,2018
Ben Garland,O,O,,,,,,,,,,,,,,,,,,Falcons,2018
Josh Harris,Q,,,,,,,,,,,,IR,IR,IR,IR,,,,Falcons,2018
Grady Jarrett,,,,,O,O,,,,,,,,,,,25.0,RDT,1907000.0,Falcons,2018
Deion Jones,,IR,IR,IR,IR,IR,IR,IR,IR,O,O,,,,,,24.0,llb,863240.0,Falcons,2018
Andy Levitre,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2018
Terrell McClain,,,,,,,,,,,,,,O,,,30.0,ldt,825000.0,Falcons,2018
Takkarist McKinley,,,O,,,,,,,,,,,,,,23.0,RDE,929388.0,Falcons,2018
Keanu Neal,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2018
Corey Nelson,,,O,,,,,,,,,,,,,,,,,Falcons,2018
Logan Paulsen,,,,,,,,,,,,,O,,,,31.0,TE,915000.0,Falcons,2018
Wes Schweitzer,,,,,,,,,,,,,,,,O,25.0,LG,630000.0,Falcons,2018
Derrick Shelby,,,O,O,O,O,,,Q,,,IR,IR,IR,IR,IR,,,,Falcons,2018
Ito Smith,,,,,,,,,,,,,,,IR,IR,,,,Falcons,2018
Blidi Wreh-Wilson,O,,,,,,,,,,,,,,,,,,,Falcons,2018
