Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Ricardo Allen,,,O,O,,,,,,,,,,29.0,CB,5250000.0,Falcons,2020
John Cominsky,,,,,,C19,C19,C19,C19,,,,,25.0,DE,675000.0,Falcons,2020
Marlon Davidson,Q,D,,,,C19,C19,C19,,,,,,22.0,DL,585294.0,Falcons,2020
Darqueze Dennard,,,,IR,IR,IR,IR,IR,IR,,,,,29.0,CB,910000.0,Falcons,2020
Dante Fowler,,,Q,,,,,,O,C19,Q,,,26.0,OLB,2000000.0,Falcons,2020
Todd Gurley,,,,,,,,,,,O,,,26.0,RB,3500000.0,Falcons,2020
Charles Harris,O,O,,,,,,,,,,,,25.0,DE,1943692.0,Falcons,2020
Jaylinn Hawkins,,,,,O,O,,,,,,,,23.0,S,610000.0,Falcons,2020
Damontae Kazee,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2020
Younghoe Koo,,,,O,,,,,,,,,,26.0,K,750000.0,Falcons,2020
Jake Matthews,,Q,,,,,,,,,,,,28.0,OT,3550000.0,Falcons,2020
Kaleb McGary,,,Q,,,,,,,,,,,25.0,OL,961625.0,Falcons,2020
Takkarist McKinley,,,Q,O,,O,Q,O,O,,,,,,,,Falcons,2020
Jordan Miller,,,,,,,,,IR,IR,IR,IR,IR,,,,Falcons,2020
Keanu Neal,,,,O,,,,,,,,,,25.0,FS,6466000.0,Falcons,2020
Foyesade Oluokun,,,Q,,,,,,,,,,,25.0,S,750000.0,Falcons,2020
Kendall Sheffield,O,O,O,,,,,,,,,,,24.0,CB,675000.0,Falcons,2020
Olamide Zaccheaus,,,,,,,,,,,IR,IR,IR,,,,Falcons,2020
