Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Arik Armstead,Q,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2016
Ray-Ray Armstrong,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2016
Blake Bell,,,,,,,,,,,,,,,IR,IR,,,,Fourty-niners,2016
Nick Bellore,,,,,,,,,,,,,,,IR,IR,27.0,LILB,760000.0,Fourty-niners,2016
NaVorro Bowman,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2016
Ahmad Brooks,,,,,,Q,,,,,,,,,,,32.0,LOLB,4900000.0,Fourty-niners,2016
DeForest Buckner,,,,,O,Q,,,,,,,,,,,22.0,LDE,450000.0,Fourty-niners,2016
Anthony Davis,Q,O,O,,,,,,,,,,,,,,,,,Fourty-niners,2016
Chris Davis,D,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2016
Quinton Dial,Q,,,,,,,,,,Q,,Q,,,,26.0,RDE,675000.0,Fourty-niners,2016
Glenn Dorsey,Q,,,,Q,Q,Q,,,,,,,,Q,,31.0,NT,1800000.0,Fourty-niners,2016
Bruce Ellington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2016
Carlos Hyde,,,,,,,O,Q,Q,,,,,,,,26.0,RB,654698.0,Fourty-niners,2016
Dontae Johnson,,,,,,,,,,,,,,,D,Q,,,,Fourty-niners,2016
Daniel Kilgore,,,,,,,,,,,,,,IR,IR,IR,29.0,C,900000.0,Fourty-niners,2016
Thaddeus Lewis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2016
Aaron Lynch,,,,,,,,O,O,O,Q,Q,Q,,,,,,,Fourty-niners,2016
Marcus Martin,,,,,,,,,,,,,,,IR,IR,,,,Fourty-niners,2016
Vance McDonald,,,,Q,Q,,,,,,,,,IR,IR,IR,26.0,WR,795797.0,Fourty-niners,2016
Quinton Patton,,,,,,,,,,,,,,,IR,IR,26.0,WR,675000.0,Fourty-niners,2016
Will Redmond,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2016
Eric Reid,,,,,,,,,,,IR,IR,IR,IR,IR,IR,25.0,FS,1561464.0,Fourty-niners,2016
Rashard Robinson,,,,,,,Q,O,Q,Q,,,,,,Q,21.0,rcb,450000.0,Fourty-niners,2016
Shayne Skov,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Fourty-niners,2016
Torrey Smith,,,,,,,,,,,,,,IR,IR,IR,27.0,WR,4500000.0,Fourty-niners,2016
Joe Staley,,,,,,,,,,,,,D,D,D,Q,32.0,LT,5400000.0,Fourty-niners,2016
Andrew Tiller,,Q,,,,,,,,,,,,,,O,27.0,rg,600000.0,Fourty-niners,2016
Jimmie Ward,,,,O,O,O,,,,,Q,,,,IR,IR,25.0,RCB,1066594.0,Fourty-niners,2016
