Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Danny Aiken,,,,,,,,,,,,,,,,IR,,,,Giants,2015
Prince Amukamara,,,,,,O,O,O,O,O,P,,,,,,26.0,LCB,6898000.0,Giants,2015
Robert Ayers,,,Q,O,O,Q,P,,,,,P,Q,,,,30.0,LDE,2437500.0,Giants,2015
Jon Beason,O,D,P,,,Q,P,IR,O,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Will Beatty,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Odell Beckham Jr.,,,,,,Q,Q,P,,,,,,,,,,,,Giants,2015
Nat Berhe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Victor Cruz,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Jerome Cunningham,,,O,O,P,,,,,,,,,,,,,,,Giants,2015
Craig Dahl,,,,,,,,,P,,,,,,,O,,,,Giants,2015
Orleans Darkwa,,,,P,,,,,P,,,,,,P,,,,,Giants,2015
Zak DeOssie,,,,,,,,,,,,,IR,IR,IR,IR,,,,Giants,2015
Larry Donnell,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,27.0,TE,585000.0,Giants,2015
Daniel Fells,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Ereck Flowers,,P,D,Q,P,,,,,,,,Q,Q,P,,21.0,LT,2616676.0,Giants,2015
Josh Gordy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Johnathan Hankins,,,,,,,P,,,IR,IR,IR,IR,IR,IR,IR,23.0,RDT,1099278.0,Giants,2015
Dwayne Harris,,,,,,,,,,,,,,Q,Q,Q,28.0,wr,1800000.0,Giants,2015
Bennett Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Cullen Jenkins,P,,P,,,,,,,,,,,,,,34.0,LDT,2091668.0,Giants,2015
Brett Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Devon Kennard,,,,,O,O,P,,,,,O,O,O,O,,24.0,LLB,546140.0,Giants,2015
Markus Kuhn,,O,O,O,P,,,,,,,,,IR,O,IR,29.0,LDT,671474.0,Giants,2015
Brandon Meriweather,,,,,,,,,,,,O,Q,,,,31.0,SS,585000.0,Giants,2015
Damontre Moore,,,,,,,,,,,P,,,,,,,,,Giants,2015
James Morris,,,,,,,,,,,,,,,O,IR,,,,Giants,2015
Marshall Newhouse,,,,,,,,,,,,Q,P,,,O,27.0,RT,1300000.0,Giants,2015
Owamagbe Odighizuwa,P,O,O,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Jason Pierre-Paul,,,,,,,,,,,,P,,,,Q,26.0,RDE,14813000.0,Giants,2015
Justin Pugh,,,,,,P,,,,P,O,P,,,,,25.0,LG,2276154.0,Giants,2015
Weston Richburg,,,,,,,,,,,D,Q,,,,,24.0,C,1108489.0,Giants,2015
Dominique Rodgers-Cromartie,,,O,P,,,,,,,,,,,,,,,,Giants,2015
Geoff Schwartz,,,P,,,,,P,P,P,P,IR,IR,IR,IR,IR,29.0,RG,2845833.0,Giants,2015
George Selvie,,,,,O,P,,,,,,,,O,P,,,,,Giants,2015
Cooper Taylor,,,,,,,,,,,,,,,O,O,,,,Giants,2015
J.T. Thomas,,,,,,,,O,O,O,Q,,,Q,,IR,27.0,RLB,2000000.0,Giants,2015
Mykkele Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2015
Nikita Whitlock,,,,,,,,,,,,P,,,IR,IR,24.0,te,435000.0,Giants,2015
