Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Saquon Barkley,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Sam Beal,,,,,,,,,,,IR,IR,IR,,,,Giants,2020
C.J. Board,,,,,,,O,Q,,,,,,27.0,WR,675000.0,Giants,2020
Lorenzo Carter,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Adrian Colbert,,O,D,,Q,Q,O,O,IR,IR,IR,IR,IR,,,,Giants,2020
Cody Core,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Tae Crowder,Q,,,,,,IR,IR,IR,IR,IR,,,23.0,,474116.0,Giants,2020
Kyler Fackrell,,,,,Q,,,,,,IR,IR,IR,,,,Giants,2020
Devonta Freeman,,,,,,,,O,O,O,IR,IR,C19,,,,Giants,2020
Madre Harper,,,,,,,,,,,,,IR,,,,Giants,2020
Will Hernandez,,,,,,,,C19,C19,C19,,,,25.0,OG,1157340.0,Giants,2020
Darnay Holmes,,,,,,,Q,,,,,,,22.0,CB,610000.0,Giants,2020
Jaquarius Landrews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Dexter Lawrence,,,,,,Q,,,,,,,,23.0,DL,1097184.0,Giants,2020
Ryan Lewis,,,,,,,,,O,IR,IR,IR,IR,,,,Giants,2020
David Mayo,IR,IR,IR,IR,IR,IR,,,,,,,,27.0,ILB,1500000.0,Giants,2020
Xavier McKinney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,21.0,S,400000.0,Giants,2020
Matt Peart,,,,,,,,,,,C19,,,23.0,OL,610000.0,Giants,2020
Jabrill Peppers,,,,O,Q,,,,,,,,,25.0,SS,1875271.0,Giants,2020
Dante Pettis,,,,,,,,,,,C19,,,25.0,WR,1061869.0,Giants,2020
Da'Mari Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Sterling Shepard,,,IR,IR,IR,IR,IR,,,,,,,27.0,WR,6475000.0,Giants,2020
David Sills,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Darius Slayton,,,,,,Q,,,,,,,,23.0,WR,675000.0,Giants,2020
Nate Solder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Shakial Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Brandon Williams,,,Q,IR,IR,IR,IR,IR,IR,,Q,,,,,,Giants,2020
Nate Wozniak,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Giants,2020
Oshane Ximines,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
