Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Arrelious Benn,,,,,,,,,,,Q,,,,O,,,,,Jags,2016
Michael Bennett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2016
Luke Bowanko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Jags,2016
Aaron Colvin,,,,,,,,Q,,,Q,,,,IR,IR,,,,Jags,2016
Rashad Greene,,,,,Q,,,,,,,IR,IR,IR,IR,IR,,,,Jags,2016
Allen Hurns,,,,,,,,,Q,,,O,O,O,O,Q,25.0,WR,9001668.0,Jags,2016
Chris Ivory,Q,O,Q,,,,,,,,,O,Q,,,Q,,,,Jags,2016
Luke Joeckel,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2016
Abry Jones,,,,,,,,,,,Q,,,,,,25.0,RDT,2553000.0,Jags,2016
Ben Koyack,,,O,O,,,,,,,,,,,,,23.0,te,450000.0,Jags,2016
Marcedes Lewis,,,,,,,,,,,IR,IR,IR,IR,IR,IR,32.0,TE,4000000.0,Jags,2016
Jeff Linkenbach,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2016
Roy Miller,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,29.0,rdt,3975000.0,Jags,2016
Yannick Ngakoue,,,,,,,,,,,,Q,,,,,21.0,LDE,664044.0,Jags,2016
Jared Odrick,Q,,Q,O,,Q,Q,O,,,IR,IR,IR,IR,IR,IR,29.0,rde,8000000.0,Jags,2016
Patrick Omameh,,,,,,,,,,,IR,IR,IR,IR,IR,IR,27.0,LG,675000.0,Jags,2016
Sean Porter,,,,,,,,,,,,,,,O,,,,,Jags,2016
Jeremiah Poutasi,,,,,,,,,,,,,,,IR,IR,,,,Jags,2016
Chris Reed,,,,,,,,,,,,,,IR,IR,IR,,,,Jags,2016
Denard Robinson,,,,,,,,,,,,,O,O,O,,,,,Jags,2016
James Sample,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2016
Dan Skuta,,,,Q,,,,,,Q,O,,Q,,,,,,,Jags,2016
Chris Smith,,,,,,,,,Q,O,O,,,,,,,,,Jags,2016
Neal Sterling,,,,,Q,Q,,,,Q,,,,,O,Q,,,,Jags,2016
Julius Thomas,,,,,,,,,,,IR,IR,IR,IR,IR,IR,28.0,TE,7300000.0,Jags,2016
Peyton Thompson,,,,,,,,,,,,,O,,,,,,,Jags,2016
Bryan Walters,,,,,,,,,O,Q,,,,,,,,,,Jags,2016
Josh Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,,,,,Jags,2016
Jonathan Woodard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2016
T.J. Yeldon,,,,,,,,,,,Q,,,,,IR,23.0,RB,1344040.0,Jags,2016
