Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Blessuan Austin,,,,,Q,Q,,,,Q,IR,IR,IR,24.0,CB,675000.0,Jets,2020
Tarell Basham,,Q,,,,,,,,,,,,26.0,DE,825000.0,Jets,2020
Mekhi Becton,,,,Q,D,D,Q,,,,,,,21.0,OL,610000.0,Jets,2020
Le'Veon Bell,,IR,IR,IR,IR,,,,,,,,,,,,Jets,2020
Kyron Brown,//;90,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,Jets,2020
Blake Cashman,,IR,IR,IR,IR,IR,,O,O,D,Q,,,,,,Jets,2020
Cameron Clark,IR,IR,IR,IR,IR,IR,IR,O,,,,,,23.0,OL,535880.0,Jets,2020
Jamison Crowder,,O,O,Q,,,Q,D,Q,,,,,27.0,WR,8500000.0,Jets,2020
Sam Darnold,,,,,O,D,Q,,D,D,,,,23.0,QB,750000.0,Jets,2020
Ashtyn Davis,,,O,D,Q,,,,,,,,IR,,,,Jets,2020
Josh Doctson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2020
Chuma Edoga,,,,,,,Q,,,,D,,,23.0,OL,675000.0,Jets,2020
George Fant,,,O,,,,Q,,,,D,,,28.0,T,4600000.0,Jets,2020
Sam Ficken,,,,,,,D,D,D,Q,IR,IR,IR,,,,Jets,2020
Joe Flacco,O,O,,,,,,,,,,,,35.0,QB,1050000.0,Jets,2020
John Franklin-Myers,,,,Q,Q,Q,,,Q,,,,,24.0,DE,750000.0,Jets,2020
Bryce Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,23.0,CB,511173.0,Jets,2020
Chris Hogan,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,,,,,Jets,2020
Bennett Jackson,,,,,,,,,,,,,IR,,,,Jets,2020
Leo Koloamatangi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2020
Alex Lewis,Q,,,,,Q,D,,,,Q,IR,IR,,,,Jets,2020
Frankie Luvu,,,,,,,IR,IR,IR,IR,,,,24.0,LB,513236.0,Jets,2020
Arthur Maulet,,,IR,IR,IR,IR,IR,IR,,,,,,27.0,CB,825000.0,Jets,2020
Conor McDermott,,,,,,,,Q,,,,,,28.0,OT,825000.0,Jets,2020
Bradley McDougald,,,,,,,,O,IR,IR,IR,IR,IR,,,,Jets,2020
Connor McGovern,,,Q,,,,,,Q,,,,,27.0,OG,5000000.0,Jets,2020
Denzel Mims,O,IR,IR,IR,IR,IR,IR,,,,,,,23.0,WR,548235.0,Jets,2020
Jalin Moore,,,,IR,,,,,,,,,,,,,Jets,2020
C.J. Mosley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Jets,2020
Patrick Onwuasor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,IR,IR,,,,Jets,2020
La'Mical Perine,O,Q,,,,,,,,,IR,IR,IR,,,,Jets,2020
Breshad Perriman,,,O,O,D,Q,,O,,,,,,27.0,WR,3000000.0,Jets,2020
Kyle Phillips,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Jets,2020
Brian Poole,,,,,,,,,,IR,IR,IR,IR,,,,Jets,2020
Nathan Shepherd,,,,,,,,,Q,,,,,27.0,DT,818000.0,Jets,2020
Jeff Smith,IR,IR,IR,IR,,,,,,,,,,23.0,WR,572940.0,Jets,2020
Vyncint Smith,IR,IR,IR,IR,IR,IR,,,D,,,,,24.0,WR,661767.0,Jets,2020
Greg Van Roten,,,,,,,,,,,,,IR,,,,Jets,2020
Trevon Wesco,,,,,,,,,O,IR,IR,IR,IR,25.0,TE,542648.0,Jets,2020
Quinnen Williams,,,,,,Q,,,D,,,,,23.0,DL,675000.0,Jets,2020
Avery Williamson,O,Q,,,,,,,,,,,,,,,Jets,2020
Jordan Willis,,,,D,,,,,,,,,,,,,Jets,2020
Quincy Wilson,,,O,,,,,,,,,,,,,,Jets,2020
Jabari Zuniga,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,23.0,DL,523527.0,Jets,2020
