Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Mario Addison,,,,,,,O,P,,,,O,P,,,,,,,Panthers,2015
Jared Allen,,,,,O,P,,,,P,,,P,P,,,33.0,RDE,823529.0,Panthers,2015
Kelvin Benjamin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2015
Bene Benwikere,,,,,,,,,,,,,,IR,IR,IR,,,,Panthers,2015
Brenton Bersin,,,,,,,,,,,,,D,P,,,,,,Panthers,2015
Richie Brockel,O,Q,P,,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2015
Corey Brown,,,,P,,,,,,D,Q,P,,,,,24.0,WR,515000.0,Panthers,2015
Nate Chandler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2015
Kurt Coleman,,,,,,,,,,,,,,,,D,27.0,FS,1340625.0,Panthers,2015
Jerricho Cotchery,,,O,O,P,,,,,,,,P,P,,,,,,Panthers,2015
Thomas Davis,,,,P,,,P,,,,,,P,P,,P,,,,Panthers,2015
Ed Dickson,,,,,,,,P,P,,,,,,,,28.0,TE,1516666.0,Panthers,2015
Kony Ealy,,,,,,,,,,,,P,,,,,24.0,LDE,806098.0,Panthers,2015
Dwan Edwards,,P,,P,,O,O,O,Q,P,P,P,P,P,,,,,,Panthers,2015
Ted Ginn Jr.,,,,,,,,,,,P,,P,P,P,D,30.0,WR,1850000.0,Panthers,2015
Charles Johnson,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,,P,,29.0,LDE,20020000.0,Panthers,2015
Colin Jones,,,,,,,,,,,,,,D,,,,,,Panthers,2015
Ryan Kalil,P,,,,,,D,P,P,,,,P,P,,P,,,,Panthers,2015
A.J. Klein,,,,,O,P,,,,,,,,,,,24.0,mlb,632825.0,Panthers,2015
Luke Kuechly,,D,D,O,P,,,,P,,,,,,,,,,,Panthers,2015
Star Lotulelei,O,Q,P,,,,,,,,,P,,,,P,26.0,LDT,2619409.0,Panthers,2015
David Mayo,,,,,,,,,,,,,,O,O,P,,,,Panthers,2015
Arthur Miley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2015
Andrew Norwell,,,,,,,,O,O,O,P,,,,,,24.0,LG,514000.0,Panthers,2015
Greg Olsen,,,,,,,,,,,,,P,P,,,,,,Panthers,2015
Amini Silatolu,,,,O,Q,,,,,,,,,,,,,,,Panthers,2015
Jonathan Stewart,,P,Q,P,,,,,P,,,,P,O,O,O,,,,Panthers,2015
Shaq Thompson,,,,,,O,D,P,,,,,,,,,21.0,LLB,1601586.0,Panthers,2015
Charles Tillman,,,,P,,,,,,D,D,O,D,P,,,34.0,LCB,1531250.0,Panthers,2015
Fozzy Whittaker,,,Q,,,,,,,P,,,,,,O,,,,Panthers,2015
Daryl Williams,,O,O,O,O,O,P,,,,,,,,,,,,,Panthers,2015
