Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
David Andrews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Brandon Bolden,,O,,,,,,,,,,,,,,,,,,Patriots,2019
Rex Burkhead,,,,Q,O,Q,Q,Q,Q,,,,,,,,,,,Patriots,2019
Yodny Cajuste,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Patrick Chung,,,,,O,Q,Q,Q,Q,Q,Q,Q,Q,,,,32.0,SS,1900000.0,Patriots,2019
Keionta Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
James Develin,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Phillip Dorsett,,,,,,O,Q,,,,Q,Q,,,,,,,,Patriots,2019
Nate Ebner,,,Q,Q,O,Q,,,,Q,Q,Q,,,,,,,,Patriots,2019
Hjalte Froholdt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Malik Gant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Josh Gordon,,,,,,Q,O,IR,IR,,,,,,,,28.0,WR,2025000.0,Patriots,2019
Stephen Gostkowski,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Damien Harris,,,,,,,,,,Q,Q,,,,,,,,,Patriots,2019
N'Keal Harry,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,22.0,wr,495000.0,Patriots,2019
Dont'a Hightower,,,,Q,Q,,,,,,,Q,,,,,,,,Patriots,2019
Ryan Izzo,,,Q,,,,O,O,Q,,,O,,,,,,,,Patriots,2019
Jakob Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,25.0,FB,,Patriots,2019
Jonathan Jones,,,,,,,,,,,,,,,O,Q,26.0,DB,3095000.0,Patriots,2019
Brandon King,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Matt LaCosse,Q,Q,Q,Q,,,O,O,O,Q,,,,,,,27.0,TE,700000.0,Patriots,2019
Obi Melifonwu,Q,,,,,,,,,,,,,,,,,,,Patriots,2019
Cameron Meredith,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,,,Patriots,2019
Gunner Olszewski,,,,,,,Q,Q,Q,Q,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Derek Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
D'Angelo Ross,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Danny Shelton,,,,,,,,,,Q,,,,Q,,,26.0,DT,805000.0,Patriots,2019
John Simon,,,,,,,,,,Q,Q,,,,,,29.0,RDE,900000.0,Patriots,2019
Demaryius Thomas,Q,,,,,,,,,,,,,,,,,,,Patriots,2019
Isaiah Wynn,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,24.0,LT,1000087.0,Patriots,2019
