Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Quincy Adeboyejo,//,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Beau Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
David Andrews,,,O,,,,,,,,,,,28.0,C,3000000.0,Patriots,2020
Devin Asiasi,,,,,,,,IR,IR,IR,IR,IR,IR,23.0,TE,610000.0,Patriots,2020
Michael Barnett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Brandon Bolden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Tashawn Bower,,,,,,,,,,,Q,,,25.0,OLB,397062.0,Patriots,2020
Rex Burkhead,,,,,,,,,,,O,IR,IR,,,,Patriots,2020
Adam Butler,,Q,Q,Q,Q,Q,,,,Q,Q,,,26.0,DT,3259000.0,Patriots,2020
Yodny Cajuste,O,,,,,,,,IR,,,,,,,,Patriots,2020
Shilique Calhoun,,,,,,,Q,Q,IR,IR,IR,IR,IR,,,,Patriots,2020
Marcus Cannon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Patrick Chung,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Brandon Copeland,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Byron Cowart,,,,,C19,C19,,,,,Q,,,24.0,DL,645588.0,Patriots,2020
Carl Davis,,,,,,O,O,Q,,,IR,IR,IR,,,,Patriots,2020
Cody Davis,,,,O,IR,IR,IR,Q,Q,,,,,31.0,S,1100000.0,Patriots,2020
Kyle Dugger,,,Q,,,Q,Q,Q,Q,,Q,,,24.0,S,610000.0,Patriots,2020
Julian Edelman,,Q,Q,Q,Q,Q,IR,IR,IR,IR,IR,C19,C19,,,,Patriots,2020
Jermaine Eluemunor,,,,,,IR,IR,IR,IR,,,,,26.0,OG,2133000.0,Patriots,2020
Lawrence Guy,,,,,,,Q,Q,Q,Q,,,,30.0,DT,3100000.0,Patriots,2020
Damien Harris,IR,IR,IR,IR,,,Q,Q,Q,Q,,,,23.0,RB,630882.0,Patriots,2020
N'Keal Harry,Q,Q,Q,,,,O,O,Q,Q,Q,,,23.0,WR,954016.0,Patriots,2020
Justin Herron,,,,,,,IR,IR,IR,IR,IR,,,25.0,OL,486468.0,Patriots,2020
Dont'a Hightower,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Ryan Izzo,,,,,,,,Q,Q,Q,Q,,IR,,,,Patriots,2020
J.C. Jackson,,,,,,,Q,Q,,,,,,25.0,DB,750000.0,Patriots,2020
Jonathan Jones,Q,,,,,,,,Q,,,,,27.0,DB,3200000.0,Patriots,2020
Dalton Keene,Q,Q,,,,,Q,Q,IR,IR,IR,IR,,21.0,TE,511173.0,Patriots,2020
Brandon King,,,,,,,,,PUP,,,,,,,,Patriots,2020
Matt LaCosse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Marqise Lee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Sony Michel,,,,Q,IR,C19,C19,IR,IR,IR,,,,25.0,RB,1355154.0,Patriots,2020
Gunner Olszewski,IR,IR,IR,IR,,,,,,,,,,24.0,WR,630882.0,Patriots,2020
Derek Rivers,,,,,,Q,,,,,,,,,,,Patriots,2020
John Simon,,,,,,,Q,Q,Q,Q,,,,30.0,DE,1500000.0,Patriots,2020
J.J. Taylor,,,,,,,,O,,O,Q,,,22.0,RB,610000.0,Patriots,2020
Joe Thuney,,,,,,,Q,Q,Q,Q,,,,28.0,OG,14781000.0,Patriots,2020
Najee Toran,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
Josh Uche,,O,IR,IR,IR,IR,IR,,,,,,,22.0,LB,548235.0,Patriots,2020
Danny Vitale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2020
James White,,,O,,,,,,,,,,,28.0,RB,3000000.0,Patriots,2020
Chase Winovich,Q,,,,,,,,,,,,,25.0,EDGE,681000.0,Patriots,2020
Deatrich Wise Jr.,,,,,,,,Q,Q,Q,,,,26.0,DE,2133000.0,Patriots,2020
Dustin Woodard,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Patriots,2020
Isaiah Wynn,,,Q,Q,Q,,,Q,Q,Q,O,IR,IR,,,,Patriots,2020
