Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Vadal Alexander,,,,,,O,D,Q,Q,,,,,,,,22.0,t,469211.0,Raiders,2016
David Amerson,,,Q,,,,,,,,Q,Q,,,,,25.0,LCB,4050000.0,Raiders,2016
Neiron Ball,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2016
Shilique Calhoun,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Raiders,2016
Derek Carr,,,,,,,,,,,,,,,,O,25.0,QB,1465037.0,Raiders,2016
James Cowser,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Raiders,2016
Mario Edwards,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Raiders,2016
D.J. Hayden,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Raiders,2016
Ben Heeney,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2016
Gabe Holmes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2016
Austin Howard,O,,O,O,Q,,,,,,,,,,,,29.0,RT,5900000.0,Raiders,2016
Karl Joseph,,,,,,,,,,,,,O,O,O,D,23.0,SS,2160785.0,Raiders,2016
Darius Latham,,,Q,,,,,,,,,O,Q,Q,,,,,,Raiders,2016
Jamize Olawale,,,,,,,,,Q,,,,,,,,27.0,RB,2190000.0,Raiders,2016
Kelechi Osemele,,,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,27.0,LG,13200000.0,Raiders,2016
Donald Penn,,,,,,,,,,,,,,,,,33.0,LT,6100000.0,Raiders,2016
Lee Smith,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2016
Jihad Ward,,,Q,,,,,,,,,,,,,,22.0,LDE,1007236.0,Raiders,2016
Dan Williams,,,,,,,,,,,,,,,Q,,29.0,RDT,7500000.0,Raiders,2016
