Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Damon Arnette,,,,O,IR,IR,C19,IR,IR,,,,,24.0,CB,437058.0,Raiders,2020
Trent Brown,,D,O,D,Q,C19,C19,C19,C19,C19,C19,,,27.0,OT,21250000.0,Raiders,2020
Maliek Collins,,,,,Q,Q,,,,C19,,IR,IR,,,,Raiders,2020
Bryan Edwards,,,,O,O,O,Q,,,,,,,22.0,WR,610000.0,Raiders,2020
Ukeme Eligwe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Clelin Ferrell,,,,,,,,,,C19,C19,,,23.0,EDGE,1920492.0,Raiders,2020
Rico Gafford,,,,D,Q,,,,,,,,,,,,Raiders,2020
Denzelle Good,,,Q,,,C19,,,,,,,,29.0,OT,1400000.0,Raiders,2020
Johnathan Hankins,,,,,,,,,,C19,,,,28.0,DT,3750000.0,Raiders,2020
Jeff Heath,,,,,,,,Q,,,,,IR,,,,Raiders,2020
Rodney Hudson,,,,,,C19,,,,,,,,31.0,OL,1050000.0,Raiders,2020
Maurice Hurst Jr,,,,,,,,O,O,Q,,,,,,,Raiders,2020
Richie Incognito,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Gabe Jackson,,,,,,C19,,,Q,,,,,29.0,OG,9350000.0,Raiders,2020
Arden Key,,,,,,,D,O,,,,,,24.0,DE,750000.0,Raiders,2020
Nick Kwiatkoski,,D,O,Q,,,,,,,,,,27.0,ILB,7000000.0,Raiders,2020
Marcus Mariota,IR,IR,IR,IR,IR,IR,,,,,,,,27.0,QB,7500000.0,Raiders,2020
Takkarist McKinley,,,,,,,,,,,IR,IR,IR,,,,Raiders,2020
Kolton Miller,,,,,,C19,,Q,D,,,,,25.0,OT,1704666.0,Raiders,2020
Tanner Muse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,,,,Raiders,2020
Carl Nassib,,,,,,Q,,,,,,,,27.0,DE,7500000.0,Raiders,2020
Keisean Nixon,,,,,,O,,,,,,,,23.0,CB,675000.0,Raiders,2020
Nick O'Leary,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Daniel Ross,,,,O,IR,IR,IR,IR,,,,,,,,,Raiders,2020
Henry Ruggs ,,Q,O,D,Q,,,,,,,,,,,,Raiders,2020
John Simpson,,Q,,,,,,,,,,,,23.0,OL,610000.0,Raiders,2020
Jeremiah Valoaga,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Kendal Vickers,,,,,,,,,,C19,,,,25.0,DE,610000.0,Raiders,2020
Darren Waller,,,Q,,,,,,,,,,,28.0,TE,7280000.0,Raiders,2020
Tyrell Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Sam Young,,D,Q,,,,,,,,,,,33.0,T,1050000.0,Raiders,2020
