Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Cam Akers,,,O,O,,,,,,,,,,21.0,RB,610000.0,Rams,2020
Brian Allen,,,,,,,,,Q,D,Q,,,25.0,C,750000.0,Rams,2020
Chandler Brewer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Rams,2020
Terrell Burgess,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Rams,2020
Bobby Evans,,,,,O,,,,,,,,,23.0,OL,675000.0,Rams,2020
Leonard Floyd,,,,,,,,,Q,,,,,28.0,OLB,5000000.0,Rams,2020
Kai Forbath,,,,,,,,,,IR,IR,IR,IR,,,,Rams,2020
Jordan Fuller,,,,Q,,IR,IR,IR,IR,,,,,22.0,S,461763.0,Rams,2020
Travin Howard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Rams,2020
Terrell Lewis,IR,IR,IR,IR,,,,,Q,,D,,,22.0,LB,560587.0,Rams,2020
Joseph Noteboom,,,IR,IR,IR,IR,,,,,,,,25.0,OT,750000.0,Rams,2020
Ogbonnia Okoronkwo,,,,,,O,IR,IR,IR,IR,IR,IR,,25.0,DE,555884.0,Rams,2020
Taylor Rapp,,,,,,,,,,IR,IR,IR,IR,,,,Rams,2020
A'Shawn Robinson,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,25.0,DT,523529.0,Rams,2020
Andrew Whitworth,,,,,,,,,,IR,IR,IR,IR,,,,Rams,2020
Darious Williams,,,Q,,,,,,,,,,,27.0,CB,750000.0,Rams,2020
