Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Otaro Alaka,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2019
Chris Board,,,,,,,,,,,,,,O,Q,,,,,Ravens,2019
Randin Crecelius,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2019
Kenneth Dixon,IR,,,,,,,,,,,,,,,,,,,Ravens,2019
DeShon Elliott,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2019
Mark Ingram,,Q,,,,,,,,,,,,,,O,,,,Ravens,2019
Tony Jefferson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,27.0,fs,8000000.0,Ravens,2019
Alvin Jones,IR,IR,,,,,,,,,,,,,,,,,,Ravens,2019
Daylon Mack,,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2019
Iman Marshall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Ravens,2019
Pernell McPhee,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,31.0,lolb,930000.0,Ravens,2019
Patrick Onwuasor,,,,,,Q,Q,Q,,,,,Q,,,,27.0,lilb,3095000.0,Ravens,2019
Domata Peko,,,,,,,,,,,,Q,,,,,,,,Ravens,2019
Michael Pierce,,,,,,,,,,D,D,Q,,,,,27.0,NT,3095000.0,Ravens,2019
Matt Skura,,,,,Q,,,,,,,IR,IR,IR,IR,IR,26.0,C,645000.0,Ravens,2019
Jimmy Smith,,O,O,O,O,O,D,Q,,,,,,,,Q,31.0,db,9500000.0,Ravens,2019
Fish Smithson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2019
Ronnie Stanley,,,,,,,Q,,Q,,Q,,,D,Q,,,,,Ravens,2019
Brynden Trawick,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,Ravens,2019
Brandon Williams,,,,,Q,,,,,,,,,,,,30.0,LDE,9250000.0,Ravens,2019
Tavon Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2019
