Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Age,Pos,Salary,Team,Year
Kyle Allen,,,,,,,,,O,IR,IR,IR,IR,IR,,,,WFT,2020
Ryan Anderson,,,,Q,,Q,,,,O,O,,IR,IR,,,,WFT,2020
Marcus Baugh,,,,,O,,,,,,,,,,26.0,TE,610000.0,WFT,2020
Ryan Bee,IR,IR,,,,,,,,,,,,,,,,WFT,2020
Caleb Brantley,IR,,,,,,,,IR,,,,,,,,,WFT,2020
Saahdiq Charles,Q,,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2020
Geron Christian,,,,,,,Q,D,O,IR,IR,IR,IR,IR,,,,WFT,2020
Landon Collins,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2020
Thomas Davis,O,Q,,,,,,,,,,,,,37.0,LB,1500000.0,WFT,2020
Deshazor Everett,,,,,,,,,,,O,,,,,,,WFT,2020
Reuben Foster,,,,,,,,,IR,,,,,,,,,WFT,2020
Robert Foster,,,,,,,O,,,,,,,,26.0,WR,485294.0,WFT,2020
Kendall Fuller,D,Q,,,,,,,,,,,,,25.0,CB,1000000.0,WFT,2020
Antonio Gandy-Golden,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2020
Joshua Garnett,,,,,,O,IR,,,,,,,,,,,WFT,2020
Emanuel Hall,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2020
Kelvin Harmon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2020
Josh Harvey-Clemons,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2020
Temarrick Hemingway,,,,,,,,,,,,,IR,IR,,,,WFT,2020
Cole Holcomb,,O,O,O,Q,,,,,,,,,,24.0,LB,675000.0,WFT,2020
Dustin Hopkins,,,,,,,,,Q,Q,Q,,,,30.0,K,2400000.0,WFT,2020
Dontrelle Inman,,,,,,,,D,O,Q,,,,,31.0,WR,910000.0,WFT,2020
Matthew Ioannidis,,,,IR,IR,IR,IR,IR,IR,IR,C19,IR,IR,IR,,,,WFT,2020
Mike Liedtke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,WFT,2020
Bryce Love,,,,,,,,,IR,,,,,,,,,WFT,2020
Cornelius Lucas,,,,,,,,,,O,Q,,,,29.0,T,910000.0,WFT,2020
Morgan Moses,,,Q,Q,,,,,,,,,,,29.0,OT,6500000.0,WFT,2020
Thaddeus Moss,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2020
Jared Norris,,,,,,,,,O,O,O,,,,27.0,LB,679412.0,WFT,2020
Kevin Pierre-Louis,,,,Q,,,,,,,,,,,29.0,OLB,1150000.0,WFT,2020
Brandon Scherff,,,IR,IR,IR,IR,,,,,,,,,29.0,G,15030000.0,WFT,2020
Wes Schweitzer,,,,,Q,,,,,,,,,,27.0,OT,1000000.0,WFT,2020
David Sharpe,,,,,,O,,,,,,,,,25.0,OT,2133000.0,WFT,2020
Steven Sims,,,Q,O,IR,IR,IR,IR,,,,,,,23.0,WR,616176.0,WFT,2020
James Smith-Williams,,,,,,,O,,,,,,,,23.0,DL,610000.0,WFT,2020
Greg Stroman,,,,,O,,,,IR,,,,,,,,,WFT,2020
Jordan Veasy,IR,IR,IR,IR,IR,,,,,,,,,,,,,WFT,2020
Isaiah Wright,,,,,,,O,,,Q,,,,,23.0,WR,610000.0,WFT,2020
Chase Young,,,,O,Q,,,,,,,,,,21.0,DL,610000.0,WFT,2020
