Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Tavaris Barnes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2016
Michael Bennett,,,,,,,O,O,O,O,O,Q,,,,,,,,Seahawks,2016
Kam Chancellor,,,,,Q,D,O,O,,,,,,,,,28.0,SS,5100000.0,Seahawks,2016
DeAndre Elliott,,,,,,,O,O,Q,,,,,,,,,,,Seahawks,2016
Devin Hester,,,,Q,D,Q,,,,,,,,,,,,,,Seahawks,2016
Jordan Hill,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,IR,IR,IR,,,,Seahawks,2016
Germain Ifedi,Q,O,D,,,,,,,,,,,,,,22.0,RG,450000.0,Seahawks,2016
Stanley Jean-Baptiste,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2016
Quinton Jefferson,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2016
Tyler Lockett,,,Q,,,,Q,,,,,,,,,IR,24.0,WR,580000.0,Seahawks,2016
Tony McDaniel,,,,,,,,,,,,,,,,,31.0,RDT,985000.0,Seahawks,2016
Dewey McDonald,,,,,,,,,,,,,,Q,,,,,,Seahawks,2016
Damontre Moore,,,,,,,,,,,,,IR,IR,IR,IR,,,,Seahawks,2016
Mike Morgan,,,,Q,IR,IR,IR,IR,IR,IR,IR,,Q,,,,,,,Seahawks,2016
Kevin Pierre-Louis,,,,,,O,O,,,O,,,,,,,,,,Seahawks,2016
Terry Poole,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2016
Troymaine Pope,,,,,,,,,,,O,Q,,IR,IR,IR,,,,Seahawks,2016
C.J. Prosise,,Q,Q,Q,Q,,,,,,O,O,O,O,O,O,,,,Seahawks,2016
Thomas Rawls,,,D,O,O,O,O,O,O,,,,,,,,23.0,rb,525000.0,Seahawks,2016
Paul Richardson,,,,,,,,,,,,O,,,,,,,,Seahawks,2016
DeShawn Shead,,,,,,,,,,,Q,,,,,,27.0,RCB,760000.0,Seahawks,2016
Tyler Slavin,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2016
Garrison Smith,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2016
Joe Sommers,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2016
Earl Thomas,,,,,,,,,,,IR,,IR,IR,IR,IR,27.0,FS,8000000.0,Seahawks,2016
Jordan Tripp,,,,,,,,,,,,IR,IR,IR,,,,,,Seahawks,2016
Will Tukuafu,,,,,,,,,,,,,IR,IR,IR,IR,,,,Seahawks,2016
Nick Vannett,O,O,D,Q,,,,,,,,,,,,,,,,Seahawks,2016
Luke Willson,,,,,,O,O,O,Q,,,Q,,,,,26.0,te,1671000.0,Seahawks,2016
