Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Jeff Allen,,Q,,,,O,,,,,,,,O,,,26.0,RG,6250000.0,Texans,2016
Stephen Anderson,,,,O,O,O,,,,,,,,,,,,,,Texans,2016
Lonnie Ballentine,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Alfred Blue,,,,,,,,,,O,O,Q,,,,,,,,Texans,2016
Duane Brown,O,O,O,O,Q,,,,,,,,,,,,31.0,LT,9500000.0,Texans,2016
Jadeveon Clowney,,,,,,,,Q,,,,Q,Q,,,O,,,,Texans,2016
Brian Cushing,,O,O,Q,,,,,,,,Q,Q,,,Q,29.0,LILB,5000000.0,Texans,2016
K.J. Dillon,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Kurtis Drummond,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Tyler Ervin,,,,,,,,,,,O,O,O,Q,,,,,,Texans,2016
Ka'imi Fairbairn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
C.J. Fiedorowicz,,,,,,,,,,,,,,O,,,25.0,TE,860826.0,Texans,2016
Dalton Freeman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Jonathan Grimes,,,,O,O,O,,Q,Q,O,,,,,,,,,,Texans,2016
Kareem Jackson,,,,,Q,Q,,,,,,,,,,,28.0,DB,8437500.0,Texans,2016
Kevin Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Nick Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Whitney Mercilus,,,,,,,,,,,,,,Q,,,26.0,LOLB,5800000.0,Texans,2016
Braxton Miller,,,O,O,,,,,,,,,IR,IR,IR,IR,24.0,WR,627275.0,Texans,2016
Lamar Miller,,,,,,,,Q,,,,,,,Q,O,25.0,RB,5500000.0,Texans,2016
Derek Newton,,Q,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,29.0,rt,5500000.0,Texans,2016
Brian Peters,,,,,,O,,O,Q,,,,,,,,,,,Texans,2016
Jay Prosch,,,,,,,,,,Q,Q,,,,,O,,,,Texans,2016
Gerald Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Tom Savage,,,,,,,,,,,,,O,,,,,,,Texans,2016
Brennan Scarlett,,,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,Texans,2016
Devon Still,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Jaelen Strong,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Soma Vainuku,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
Tony Washington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Texans,2016
J.J. Watt,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2016
