Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Randall Cobb,,,,,,,,,,,IR,IR,IR,,,,Texans,2020
Dylan Cole,,,,,,,,C19,Q,IR,IR,,,,,,Texans,2020
Gareon Conley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2020
Isaiah Coulter,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,22.0,WR,523527.0,Texans,2020
Duke Ejiofor,,,,,,,,,IR,,,,,,,,Texans,2020
Kyle Emanuel,,,,,,,,O,IR,IR,IR,IR,,29.0,OLB,642353.0,Texans,2020
Cullen Gillaspia,Q,,,Q,,,,,,Q,O,IR,IR,,,,Texans,2020
Jonathan Greenard,Q,,,,,,,,,,,,,23.0,DL,610000.0,Texans,2020
P.J. Hall,,,,,,,Q,,,,IR,IR,IR,,,,Texans,2020
David Johnson,,,,,,,,,O,IR,IR,IR,C19,29.0,RB,10200000.0,Texans,2020
Duke Johnson,,Q,Q,,,,,,,,,,,27.0,RB,3600000.0,Texans,2020
Senio Kelemete,,,,,,,,,O,Q,,,,30.0,T,1300000.0,Texans,2020
Josh McCown,,,,,,,,,O,,O,,,41.0,QB,555882.0,Texans,2020
Benardrick McKinney,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2020
Whitney Mercilus,,,,,,,,C19,C19,,,,,30.0,DE,10500000.0,Texans,2020
A.J. Moore,,,,IR,IR,IR,IR,IR,IR,,,,,25.0,DB,502942.0,Texans,2020
Charles Omenihu,,,,,,,,,Q,Q,,,,23.0,DL,675000.0,Texans,2020
Bradley Roby,,,,,,,,O,,,,,,28.0,CB,4500000.0,Texans,2020
Brennan Scarlett,,,,,,,,,IR,IR,IR,IR,IR,,,,Texans,2020
Max Scharping,,,,,,,,C19,C19,,,,,24.0,OT,725368.0,Texans,2020
Kenny Stills,,,Q,,,,,,,Q,O,,,,,,Texans,2020
Michael Thomas,,,,,,,,,,IR,IR,IR,IR,,,,Texans,2020
Laremy Tunsil,,,,,,,,,,Q,,,,26.0,OT,10850000.0,Texans,2020
Eddie Vanderdoes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2020
Kahale Warring,,,,,,,,,IR,,,,,23.0,TE,658252.0,Texans,2020
