Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Daren Bates,,,,,,,,,,,,,O,O,,,,,,Titans,2019
Cameron Batson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2019
Jayon Brown,,,,,,,D,,,O,,,,,,,24.0,RILB,645000.0,Titans,2019
Malcolm Butler,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,29.0,RCB,10500000.0,Titans,2019
Jurrell Casey,,,,,,,,,O,O,,,,,,,,,,Titans,2019
Dane Cruikshank,,,,,,,,,,,,,,,,,,,,Titans,2019
Corey Davis,,,,,,,,,,D,,,,,,,24.0,WR,645000.0,Titans,2019
Sharif Finch,,,,,,O,O,O,,,,,,,,,,,,Titans,2019
David Fluellen,,Q,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2019
Reggie Gilbert,O,O,,,,,Q,,,,,,,,,,26.0,LOLB,,Titans,2019
Derrick Henry,,,,,,,,,,,,,,Q,Q,,,,,Titans,2019
Adam Humphries,,,,,,,,,,,,,O,O,O,O,,,,Titans,2019
Adoree' Jackson,,,,,,,,O,,,,,O,O,O,O,24.0,RCB,1490708.0,Titans,2019
Ben Jones,,,,,,,,,O,,,,,,,,30.0,C,4500000.0,Titans,2019
Joshua Kalu,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Titans,2019
David Long,,,,,,,,,,,,,,,,,,,,Titans,2019
Christopher Milton,,,O,,,Q,O,O,Q,,,IR,IR,IR,IR,IR,,,,Titans,2019
Kevin Pamphile,Q,O,O,O,O,,,,,,D,,,,,,,,,Titans,2019
Kalif Raymond,,,,,,,,,,,,,,,,O,,,,Titans,2019
Derick Roberson,,,,,,,,,,,,,O,,,,,,,Titans,2019
Jeffery Simmons,IR,IR,IR,IR,IR,IR,IR,,,,,,,,Q,,22.0,LDE,495000.0,Titans,2019
LeShaun Sims,,,,,,,,,,,,O,O,,,,,,,Titans,2019
Ryan Succop,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,,,,Titans,2019
Cameron Wake,,,,,Q,O,Q,,,,,IR,IR,IR,IR,IR,,,,Titans,2019
D'Andre Walker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2019
Delanie Walker,,,,,,,Q,O,O,O,D,IR,IR,IR,IR,IR,,,,Titans,2019
Jordan Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2019
