Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Vic Beasley,O,Q,,,,,,,,,,,,,,,Titans,2020
Breon Borders,,,,,,,,,,,,,IR,,,,Titans,2020
A.J. Brown,,O,O,Q,,,,,,,,,,23.0,WR,751926.0,Titans,2020
Jayon Brown,,,,,,,,,,,IR,IR,IR,,,,Titans,2020
Jadeveon Clowney,,,,,,,,Q,,IR,IR,IR,IR,,,,Titans,2020
Dane Cruikshank,IR,IR,IR,IR,IR,IR,O,,IR,IR,IR,IR,IR,,,,Titans,2020
Corey Davis,Q,,,,,,,,,,,,,25.0,WR,825000.0,Titans,2020
Jamil Douglas,O,Q,,,,,,,,,,,,28.0,OG,750000.0,Titans,2020
Darrynton Evans,O,O,,,IR,IR,IR,IR,IR,IR,IR,IR,,22.0,RB,461763.0,Titans,2020
Kristian Fulton,,,,,,,O,IR,IR,IR,IR,IR,IR,22.0,CB,474118.0,Titans,2020
Adam Humphries,,,,,,,,O,O,O,O,,IR,,,,Titans,2020
Adoree' Jackson,O,IR,IR,IR,IR,IR,IR,IR,IR,O,,,,25.0,CB,2003561.0,Titans,2020
Chris Jackson,,,O,,,,,,,,C19,C19,C19,22.0,S,610000.0,Titans,2020
DaQuan Jones,,,,,Q,,,,,,,,,29.0,DT,7000000.0,Titans,2020
Brett Kern,,,,,,,,IR,IR,IR,IR,,,34.0,P,1900000.0,Titans,2020
Taylor Lewan,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2020
David Long,,,,,,,,,,C19,C19,,,24.0,LB,675000.0,Titans,2020
Anthony McKinney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Titans,2020
Daniel Munyer,,,,,,,Q,,,,,,,,,,Titans,2020
Larrell Murchison,,,,,,,,,,O,,,,23.0,DL,610000.0,Titans,2020
Kareem Orr,,,,,,,,,,Q,IR,IR,IR,23.0,DB,397059.0,Titans,2020
Senorise Perry,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,29.0,RB,910000.0,Titans,2020
MyCole Pruitt,,,,,,,,,O,O,O,,,28.0,TE,1100000.0,Titans,2020
Derick Roberson,O,Q,O,,,,O,,,,,,,25.0,DE,675000.0,Titans,2020
Rodger Saffold,,,,,,,,,,O,Q,,,32.0,T,9500000.0,Titans,2020
Ty Sambrailo,,,,,,,,,,,IR,IR,IR,,,,Titans,2020
Tye Smith,,,,,,,Q,Q,IR,IR,IR,,,27.0,CB,825000.0,Titans,2020
Kenny Vaccaro,,,,,,,,,,O,,,,29.0,FS,4250000.0,Titans,2020
Isaiah Wilson,,,,,,,,,,,,,IR,,,,Titans,2020
