Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Anthony Barr,,,,,,,,Q,Q,P,P,Q,O,O,P,,,,,Vikings,2015
Audie Cole,,,,Q,,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2015
Scott Crichton,,,,,,,,,,,,,P,IR,IR,IR,,,,Vikings,2015
Stefon Diggs,,,,,,,,P,,,,,,,,,22.0,WR,491928.0,Vikings,2015
Rhett Ellison,,,,,P,,O,P,,,,,,,P,,27.0,TE,1617146.0,Vikings,2015
Antone Exum,,,,,,,,,,,,,IR,IR,IR,IR,,,,Vikings,2015
Sharrif Floyd,,,,,,O,O,O,P,P,P,,,,,P,23.0,LDT,2202600.0,Vikings,2015
Charles Johnson,,,,O,Q,P,,,,,,,,O,P,,,,,Vikings,2015
Tom Johnson,,,,,,,P,P,,P,,,,,,,31.0,LDT,2300000.0,Vikings,2015
Linval Joseph,,,,,,,,,P,,,O,O,Q,P,D,27.0,RDT,4600000.0,Vikings,2015
Eric Kendricks,,,,,,,,O,D,P,P,,,,,,23.0,MLB,937440.0,Vikings,2015
Phil Loadholt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2015
Casey Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2015
Jabari Price,,,,O,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2015
Brian Robison,,,,,,,,,P,,,,,,,,32.0,LDE,5650000.0,Vikings,2015
Andrew Sendejo,,,,O,Q,,,,,,,O,O,P,,,28.0,SS,1066668.0,Vikings,2015
Harrison Smith,,,,,,,,P,,,Q,Q,O,O,P,P,,,,Vikings,2015
Shamar Stephen,P,P,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2015
John Sullivan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2015
Justin Trattou,,,,O,O,O,O,O,O,P,,,,,,,,,,Vikings,2015
Brandon Watts,,,,,,,,,,,,,O,P,,,,,,Vikings,2015
