Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Anthony Barr,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2020
Kris Boyd,,,Q,D,Q,O,,,,,,,,,,,Vikings,2020
Jordan Brailford,,,,,,,,,,,O,,,25.0,EDGE,430588.0,Vikings,2020
Dan Chisena,,,,,,,O,,,,,,,23.0,WR,610000.0,Vikings,2020
Ezra Cleveland,,,,,,,,,,O,O,,,22.0,OL,610000.0,Vikings,2020
Dalvin Cook,,,,,,O,Q,,,,,,,25.0,RB,825000.0,Vikings,2020
Cameron Dantzler,,O,O,,,,C19,O,Q,Q,,,,22.0,CB,610000.0,Vikings,2020
Todd Davis,,,,,,,C19,C19,C19,,,,,28.0,LB,926471.0,Vikings,2020
Myles Dorn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2020
Troy Dye,,,IR,IR,IR,IR,IR,,,,,,,24.0,LB,548235.0,Vikings,2020
Pat Elflein,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,Vikings,2020
Mark Fields II,,,,,,,,O,IR,IR,IR,IR,IR,,,,Vikings,2020
Ben Gedeon,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,Vikings,2020
Holton Hill,,,,,Q,D,O,O,IR,IR,IR,IR,,,,,Vikings,2020
Mike Hughes,,,O,O,,,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2020
Danielle Hunter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2020
George Iloka,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2020
K.J. Osborn,,,,,O,O,,,,,,,,23.0,WR,610000.0,Vikings,2020
Michael Pierce,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2020
Dru Samia,,,,,,O,,,,C19,C19,,,23.0,OL,675000.0,Vikings,2020
Cameron Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2020
Irv Smith Jr.,,,,,,,,,O,Q,D,,,22.0,TE,758566.0,Vikings,2020
Kenny Willekes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Vikings,2020
