Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Vontaze Burfict,IR,IR,IR,IR,IR,IR,,,P,P,P,P,,P,P,,25.0,RLB,5175000.0,Bengals,2015
Andy Dalton,,,,,,,,,,,P,,,O,O,O,28.0,QB,9600000.0,Bengals,2015
Darqueze Dennard,P,,,,,,,,,,O,IR,IR,IR,IR,IR,,,,Bengals,2015
Carlos Dunlap,P,,,,,,,Q,,P,,,,,,P,,,,Bengals,2015
Tyler Eifert,,,,,,,,,,,P,D,P,O,O,P,,,,Bengals,2015
Jake Fisher,,,,,,,,,,,,,D,O,P,,,,,Bengals,2015
Marcus Hardison,O,O,D,Q,,,,,,,,,,,,,,,,Bengals,2015
Ryan Hewitt,,,,,,,,,,,,,P,,,O,24.0,TE,513333.0,Bengals,2015
George Iloka,,Q,,D,Q,,,,,,,Q,Q,O,D,P,25.0,SS,1582075.0,Bengals,2015
Michael Johnson,P,,,,,,,,,D,,,,P,,,28.0,RDE,2600000.0,Bengals,2015
Adam Jones,,,,Q,P,P,,,,D,Q,Q,D,P,,,,,,Bengals,2015
Dre Kirkpatrick,,P,,P,,P,,,,,P,P,P,P,,,26.0,LCB,2743680.0,Bengals,2015
Chris Lewis-Harris,,,,,,,,,,,,D,,,,,,,,Bengals,2015
Cedric Ogbuehi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Bengals,2015
Sean Porter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2015
Pat Sims,,,O,P,,,,,,D,Q,,,,,,,,,Bengals,2015
Andre Smith,,,P,P,,P,,O,O,P,P,P,,,,,28.0,RT,6362500.0,Bengals,2015
James Wright,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2015
Nigel Bradham,,,,,,,,,,,,O,O,O,O,O,26.0,RLB,1656356.0,Bills,2015
Ron Brooks,,,,,,P,,,,,,,O,O,P,IR,,,,Bills,2015
Dan Carpenter,,,P,P,,,,,,,,,,,,,,,,Bills,2015
Alex Carrington,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Bills,2015
Charles Clay,P,,,,P,P,,,,,,,P,IR,IR,IR,26.0,TE,5000000.0,Bills,2015
Ronald Darby,,,,,,,,,,,,,,,Q,P,21.0,LCB,830853.0,Bills,2015
Marcell Dareus,,,,,,P,,,,,P,,,,,P,25.0,RDT,7823530.0,Bills,2015
Anthony Dixon,,,,,,,,,,,,,,,P,,,,,Bills,2015
Marcus Easley,,,Q,,,O,Q,,,,O,P,,,,,,,,Bills,2015
Stephon Gilmore,,,,,,,,,,,,,IR,IR,IR,IR,25.0,RCB,3844959.0,Bills,2015
