Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Mackensie Alexander,,,,D,D,Q,,,C19,,Q,,,27.0,CB,2250000.0,Bengals,2020.0
Geno Atkins,O,O,O,O,,,,,O,,,,,,,,Bengals,2020.0
Amani Bledsoe,,,,,,,,,,,,C19,C19,22.0,DE,574112.0,Bengals,2020.0
Tony Brown,,,,,,,,,,,,IR,IR,,,,Bengals,2020.0
Joe Burrow,,,,,,,,,,,IR,IR,IR,,,,Bengals,2020.0
Mike Daniels,,O,Q,O,IR,IR,IR,,,,,,,31.0,DT,1050000.0,Bengals,2020.0
Bobby Hart,,,,,,,,O,O,,,,,26.0,OG,2850000.0,Bengals,2020.0
Trey Hopkins,,,,,,,,O,,,,,,28.0,G,2550000.0,Bengals,2020.0
Sam Hubbard,,,,,,IR,IR,IR,IR,,,,,25.0,DE,538237.0,Bengals,2020.0
Margus Hunt,,,,,,,,,C19,C19,,,,33.0,DE,679412.0,Bengals,2020.0
William Jackson III,,,,,,,O,,,,,,,28.0,CB,9954000.0,Bengals,2020.0
Joe Mixon,,,,,Q,,O,O,D,IR,IR,IR,IR,,,,Bengals,2020.0
Darius Phillips,,,,,,,,Q,O,,,,IR,25.0,CB,750000.0,Bengals,2020.0
Isaiah Prince,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2020.0
D.J. Reader,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2020.0
John Ross,,,,,D,,Q,D,O,,,,,,,,Bengals,2020.0
LeShaun Sims,D,,,,,,,,O,,,,,27.0,CB,1100000.0,Bengals,2020.0
Xavier Su'a-Filo,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,29.0,OG,1000000.0,Bengals,2020.0
Auden Tate,,,,,,D,,,,,C19,IR,IR,,,,Bengals,2020.0
Mike Thomas,,,,,,,,,,Q,D,,,26.0,WR,825000.0,Bengals,2020.0
Josh Tupou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2020.0
C.J. Uzomah,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bengals,2020.0
