Player ,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Playoffs(wildcard),Playoffs(divisional),No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
John Brown,,,,P,,P,Q,Q,Q,Q,P,P,P,,,,,P,12,25,WR,15,11,178,5/11/2020,Pittsburg St.,4/3/1990,1,10,Arizona Cardinals / 3rd / 91st pick / 2014,657725
Deone Bucannon,,Q,P,,,,,P,,,Q,,,,,,,,20,23,RILB,16,16,211,6/1/2020,Washington St.,8/30/1992,1,15,Arizona Cardinals / 1st / 27th pick / 2014,1752091
Jonathan Cooper,,,,,,,,,,D,Q,P,,,,,,,61,25,RG,14,9,308,6/2/2020,North Carolina,1/19/1990,2,5,Arizona Cardinals / 1st / 7th pick / 2013,3967910
Darren Fells,,,,,Q,P,O,O,P,,,,,,,,,,85,29,TE,14,12,270,6/7/2020,UC Irvine,4/22/1986,2,3,,510000
Michael Floyd,Q,P,,,,,,,,Q,Q,Q,P,,,Q,,,15,26,wr,15,6,220,6/3/2020,Notre Dame,11/27/1989,3,8,Arizona Cardinals / 1st / 13th pick / 2012,3172750
Markus Golden,,,,,,,,,,Q,,,,,,O,P,P,44,24,rolb,15,6,260,6/3/2020,Missouri,3/13/1991,Rook,4,Arizona Cardinals / 2nd / 58th pick / 2015,712424
Jermaine Gresham,Q,P,,,,,,,,,,,D,Q,P,,,,84,27,TE,15,12,260,6/5/2020,Oklahoma,6/16/1988,5,2,Cincinnati Bengals / 1st / 21st pick / 2010,3109375
Tony Jefferson,,Q,P,,,P,,,,,,P,Q,,,,,,22,23,db,16,7,211,5/11/2020,Oklahoma,1/27/1992,2,3,,
Chris Johnson,,,,,,,,,,,P,IR,IR,IR,IR,IR,,IR,23,30,RB,11,9,195,5/11/2020,East Carolina,9/23/1985,7,6,Tennessee Titans / 1st / 24th pick / 2008,585000
David Johnson,,,,,,,,,,,,,,,,,,P,31,24,rb,16,5,224,6/1/2020,Northern Iowa,12/16/1991,Rook,9,Arizona Cardinals / 3rd / 86th pick / 2015,594843
Rashad Johnson,,,,,P,Q,,,,P,,,P,Q,Q,Q,,,26,29,SS,14,14,195,6/1/2000,Alabama,1/2/1986,6,5,Arizona Cardinals / 3rd / 95th pick / 2009,2233334
Alex Okafor,,,P,P,,O,O,O,P,,,,,,,,IR,IR,57,24,ROLB,13,13,261,6/4/2020,Texas,2/8/1991,2,6,Arizona Cardinals / 4th / 103rd pick / 2013,703607
Jerraud Powers,,,,,,,,Q,P,,,O,O,Q,P,P,,,25,28,RCB,13,13,190,5/9/2020,Auburn,7/19/1987,6,4,Indianapolis Colts / 3rd / 92nd pick / 2009,5350000
Frostee Rucker,,,,,P,,P,P,,,O,O,O,Q,Q,Q,Q,P,92,32,RDE,13,13,261,6/3/2020,USC,9/14/1983,8,6,Cincinnati Bengals / 3rd / 91st pick / 2006,2181875
Lyle Sendlein,,,,,,,,P,Q,P,,,,Q,P,,,,63,31,C,15,15,299,6/3/2020,Texas,3/16/1984,8,8,,2000000
Jared Veldheer,,,,,,P,,,,,,,,,,,,,68,28,LT,16,16,321,6/8/2020,Hillsdale,6/14/1987,5,11,Oakland Raiders / 3rd / 69th pick / 2010,8500000
LaMarr Woodley,,,P,P,P,Q,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,56,31,LOLB,10,7,266,6/2/2020,Michigan,11/3/1984,8,3,Pittsburgh Steelers / 2nd / 46th pick / 2007,665000
