Player ,09/13vs. CLE,09/20vs. HOU,09/28vs. KAN,10/04vs. WAS,10/11vs. CIN,10/18vs. PHI,11/01vs. PIT,11/08vs. IND,11/15vs. NWE,11/22vs. TEN,12/02vs. PIT,12/08vs. DAL,12/14vs. CLE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Otaro Alaka,,,,,,,IR,,,,,,,,,,,,,,,,,,,
Mark Andrews,,,,,Q,,,,,,Q,C19,C19,,,,,,,,,,,,,
Anthony Averett,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Terrell Bonds,,,,,,,,,,IR,IR,C19,C19,,,,,,,,,,,,,
Tyus Bowser,,,,,,,,C19,,,,,,,,,,,,,,,,,,
Miles Boykin,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Nick Boyle,,,,,Q,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Jacob Breeland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marquise Brown,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Dez Bryant,,,,,,,,,,,,,C19,,,,,,,,,,,,,
Calais Campbell,,,,,,,,,O,D,C19,C19,,,,,,,,,,,,,,
Morgan Cox,,,,,,,,,,,C19,C19,,,,,,,,,,,,,,
J.K. Dobbins,,,,,,,,,,,C19,C19,,,,,,,,,,,,,,
Khalil Dorsey,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Devin Duvernay,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Jaylon Ferguson,,,,,,,,,,,C19,,,,,,,,,,,,,,,
D.J. Fluker,,,Q,,,,,,,,C19,,,,,,,,,,,,,,,
L.J. Fort,,,,Q,,,,O,Q,Q,,,,,,,,,,,,,,,,
Robert Griffin III,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Malik Harrison,,,,,,,,C19,,,,,,,,,,,,,,,,,,
Justice Hill,O,Q,,Q,,,,,,,,,,,,,,,,,,,,,,
Marlon Humphrey,,,,,,,,C19,C19,,,,,,,,,,,,,,,,,
Mark Ingram,,,,,,,D,D,Q,,C19,C19,,,,,,,,,,,,,,
Lamar Jackson,,,,,Q,,,,,,C19,C19,,,,,,,,,,,,,,
Matt Judon,,,,,,,,C19,Q,,C19,C19,C19,,,,,,,,,,,,,
Anthony Levine,,,Q,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,
Justin Madubuike,O,O,Q,Q,Q,,,,,,C19,C19,,,,,,,,,,,,,,
Iman Marshall,,,,,,,IR,,,,C19,IR,IR,,,,,,,,,,,,,
Trace McSorley,,,,,,,,,,C19,C19,,,,,,,,,,,,,,,
Patrick Mekari,,,,,,,,,,,C19,C19,,,,,,,,,,,,,,
Chris Moore,O,O,Q,Q,Q,Q,,D,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marcus Peters,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,
Tyre Phillips,Q,,,,D,Q,,IR,IR,IR,IR,,,,,,,,,,,,,,,
Patrick Queen,,,,,,,,C19,,,,,,,,,,,,,,,,,,
Patrick Ricard,,,,,,,,,,,C19,C19,,,,,,,,,,,,,,
Matt Skura,,,,,,,,,,,C19,,,,,,,,,,,,,,,
Andre Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,59.0,23.0,ILB,9.0,0.0,240.0,2000-06-01,North Carolina,1997-04-20,2,,Carolina Panthers / 7th / 234th pick / 2018,441180.0
Jimmy Smith,,Q,,Q,Q,Q,Q,Q,D,Q,Q,,,,,,,,,,,,,,,
Willie Snead,,,,,,,,,,,C19,C19,C19,,,,,,,,,,,,,
Ronnie Stanley,,Q,,Q,Q,Q,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Geno Stone,,,,,,,,,,,,C19,C19,,,,,,,,,,,,,
De'Anthony Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jihad Ward,,,,,,,,,,,C19,C19,,,,,,,,,,,,,,
Broderick Washington Jr.,,,,,Q,,,,,,C19,,,,,,,,,,,,,,,
Antoine Wesley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
DeAndrew White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Williams,,,,,,C19,C19,,,D,C19,,,,,,,,,,,,,,,
Derek Wolfe,,,,Q,Q,D,,,,,Q,,,,,,,,,,,,,,,
Tavon Young,,,O,,,,IR,,,,,,,,,,,,,,,,,,,
