Player ,09/13vs. BAL,09/17vs. KAN,09/27vs. DET,10/04vs. MIN,10/11vs. OAK,10/18vs. CLE,11/01vs. GNB,11/08vs. IND,11/15vs. KAN,11/22vs. CHI,11/29vs. NWE,12/06vs. SDG,12/13vs. OAK,12/20vs. PIT,12/28vs. CIN,01/03vs. SDG,01/17vs. PIT,01/24vs. NWE,02/07vs. CAR,Age,Pos,Salary
C.J. Anderson,,Q,P,,,,,P,P,,,,Q,Q,P,P,,,,24.0,rb,589167.0
Kenny Anunike,O,O,Q,P,,P,,,,,,,,,,,,IR,IR,,,
Marvin Austin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Shaquil Barrett,,,,,,,,P,,,,,,,,,,,,,,
Omar Bolden,P,D,Q,P,P,P,P,,,,,,IR,IR,IR,IR,,IR,IR,,,
David Bruton,,P,,,,,,,,P,,,Q,P,IR,IR,IR,IR,IR,,,
Josh Bush,,,,,,,,,,,,,,,,,,P,,,,
Andre Caldwell,P,,,,,,,,,,,,Q,Q,P,,,,,,,
James Casey,,,,Q,P,,,,,,,,,,,,,,,,,
Ryan Clady,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Owen Daniels,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,33.0,TE,2750000.0
Todd Davis,,,,Q,,,,,,,,,,Q,Q,P,P,P,,,,
Vernon Davis,,,,,,,,,,,,,Q,,,,,,,,,
Lorenzo Doss,,,,,,,,,,,,P,,,,,,,,,,
Bennie Fowler,,,,,Q,P,,,,,,Q,Q,Q,P,,,,,,,
Max Garcia,,,,,,,,,,,,,,,,,P,P,,24.0,lg,521423.0
Virgil Green,,,,,,,,,P,P,P,P,,,,,,,,27.0,TE,2200000.0
Chris Harris Jr.,,,,,,,,,,,,,,,,,P,P,,,,
Ryan Harris,,,,,P,P,P,P,P,P,P,P,P,P,,,,,,30.0,LT,1420000.0
Jeff Heuerman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ronnie Hillman,,,,,,,,Q,P,P,,P,Q,P,,,,,,24.0,RB,942708.0
Malik Jackson,,Q,,,,,,,,,,,,P,,,P,,,25.0,RDE,1595403.0
Cody Latimer,,,,,O,P,,,,,,P,,P,,,,,,,,
Peyton Manning,,P,P,P,P,P,,P,P,O,O,O,O,O,O,P,P,P,,39.0,QB,17500000.0
Brandon Marshall,P,P,P,,,,,,,,,,,,,Q,P,P,,26.0,LILB,585000.0
Evan Mathis,,,,P,Q,Q,P,,,,Q,P,P,Q,P,,,,,34.0,LG,2921875.0
Lerentee McCray,Q,P,P,,,,,,,,,,,O,P,P,,,,,,
Von Miller,,,,,,,P,,,,,,,,,,P,,,,,
Corey Nelson,,,,,,,P,,,,,P,,,,,,,,,,
Jordan Norwood,,,,,,,Q,O,P,,,,,,,,,,,29.0,wr,745000.0
Brock Osweiler,,,,,,,,,,,,P,,,P,P,Q,P,,25.0,qb,1118944.0
Matt Paradis,,,,,,,,,,P,P,P,P,,,,,,,26.0,C,435000.0
Shane Ray,,,,,,,O,O,P,P,,,P,,,,,,,,,
Bradley Roby,,,,,,,,,,,,,,,,,,P,,,,
Ty Sambrailo,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Emmanuel Sanders,,,,,,,P,P,Q,Q,P,P,P,P,,P,,,,28.0,WR,5850000.0
Michael Schofield,,,,,,,,,,,P,P,P,,,,,,,25.0,RT,652300.0
Antonio Smith,,,,,,,,,,Q,P,,,,,,,,,,,
Darian Stewart,,Q,P,,,,,,,,,,P,Q,Q,P,P,P,,27.0,FS,1750000.0
Aqib Talib,,,P,,,Q,P,,,,,,,,,,,,,,,
Demaryius Thomas,,P,,,P,Q,,,,,,,,P,,P,,,,28.0,WR,13200000.0
Juwan Thompson,,,,P,,Q,P,,,,,,,,,,P,,,,,
Danny Trevathan,,,,,,,,,,P,,,O,P,,,,,,25.0,RILB,1568018.0
Louis Vasquez,,,P,P,P,P,,,P,P,,Q,P,,,,,,,28.0,RG,6250000.0
Vance Walker,,,,P,,,,,,Q,P,P,P,P,P,P,,,,,,
T.J. Ward,,,,,,,,,,,,O,O,O,Q,Q,P,P,,29.0,SS,7514705.0
DeMarcus Ware,,,,,P,O,P,P,O,O,O,O,P,P,P,,P,P,,,,
Kayvon Webster,,,D,P,,,,,,,,,,,,,,,,,,
Kyle Williams,,,,,,,,,,,,,,,,,,IR,IR,,,
Sylvester Williams,,,,,,,,,,,,O,P,P,,,,,,27.0,NT,2067750.0
Derek Wolfe,,,,,,,,,,P,,,,,,,,,,25.0,LDE,1397881.0
