Player ,09/09vs. SEA,09/16vs. OAK,09/23vs. BAL,10/01vs. KAN,10/07vs. NYJ,10/14vs. LAR,10/18vs. ARI,10/28vs. KAN,11/04vs. HOU,11/18vs. LAC,11/25vs. PIT,12/02vs. CIN,12/09vs. SFO,12/15vs. CLE,12/24vs. OAK,12/30vs. LAC,Age,Pos,Salary
Shaquil Barrett,,,,,,,,,,,,O,O,O,,,,,
Kenny Bell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tramaine Brock,,,,D,,,,,,,,O,O,,,,30.0,rcb,2000000.0
Jake Butt,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jamal Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Su'a Cravens,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,IR,,,
Todd Davis,,,,,Q,,,,,,,,,,,,26.0,LILB,3000000.0
Nico Falah,,,,,,,,Q,,,,,,,,,,,
Royce Freeman,,,,,,,,O,Q,,,,,,,,22.0,RB,480000.0
Troy Fumagalli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Max Garcia,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Jerrol Garcia-Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Adam Gotsis,,,,,Q,,,,,,,,,,,,26.0,RDE,807991.0
DaeSean Hamilton,,,,,,,,O,O,,,,,,,,23.0,wr,480000.0
Chris Harris Jr.,,,,,,,,,,,,,IR,IR,IR,IR,,,
Carlos Henderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jeff Heuerman,,,,,,,,,,,,IR,IR,IR,IR,IR,26.0,TE,705000.0
Andre Holmes,,,,,,,,,,,,,,,,IR,,,
Adam Jones,,,Q,Q,,Q,O,,,,,,,,,,,,
Marquette King,,,,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matt LaCosse,,,,,,,,,,,,,,,Q,,26.0,te,555000.0
Brendan Langley,,,,,,,,,,,,,,,O,,,,
Ronald Leary,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,29.0,lg,7650000.0
Phillip Lindsay,,,,,,,,,,,,,,,,IR,,,
Brandon Marshall,,,Q,Q,,,,Q,O,O,O,Q,Q,,,,29.0,rilb,5000000.0
Von Miller,,,,,,,,Q,,,,,,,,,,,
Deiontrez Mount,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matt Paradis,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,29.0,C,2914000.0
Shane Ray,,,,,,,O,D,,,,,,,Q,,,,
Bradley Roby,,,,,,,,,O,,Q,,,,,,26.0,LCB,8526000.0
Emmanuel Sanders,,,,,,,,,,,,,IR,IR,IR,IR,31.0,WR,8250000.0
Darian Stewart,,,,,,,,O,O,,,,,,,,30.0,SS,4500000.0
Jordan Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dymonte Thomas,,,Q,Q,,,O,,,O,O,,,,,,,,
Jared Veldheer,,,Q,,O,Q,O,O,,,,,,,,,31.0,RT,6500000.0
Menelik Watson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Derek Wolfe,,,,,,,,,,,,,,Q,,,28.0,LDE,8000000.0
Isaac Yiadom,,,,,,,,,,,,,,O,,,,,
