Player ,09/09vs. OAK,09/15vs. CHI,09/22vs. GNB,09/29vs. JAX,10/06vs. LAC,10/13vs. TEN,10/17vs. KAN,10/27vs. IND,11/03vs. CLE,11/17vs. MIN,11/24vs. BUF,12/01vs. LAC,12/08vs. HOU,12/15vs. KAN,12/22vs. DET,12/29vs. OAK,Age,Pos,Salary
De'Vante Bausby,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jake Butt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Bryce Callahan,Q,Q,Q,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,,,
Bradley Chubb,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ryan Crozier,IR,,,,,,,,,,,,,,,,,,
Todd Davis,D,Q,Q,,,,,,,,,,,,,,27.0,RILB,4000000.0
Duke Dawson,,,,,,Q,,,,,,Q,,,,,,,
Joe Dineen,IR,,,,,,,,,,,,,,,,,,
Nico Falah,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Noah Fant,,,,,,,,,,,,,,Q,Q,,22.0,TE,495000.0
Joe Flacco,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,34.0,QB,18500000.0
Austin Fort,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Adam Gotsis,,,,,,,,,,,,,,O,O,IR,,,
DaeSean Hamilton,,,,,,,,,,Q,,,,,,,,,
Shelby Harris,,,,,,,,,,,,Q,,,,,28.0,LDE,3095000.0
Jeff Heuerman,,,,,,,,,O,D,Q,,,,,,27.0,TE,2000000.0
Justin Hollins,,,,,,,,Q,,,O,,,,,,,,
Kareem Jackson,,,,Q,Q,,,,,,,,,,,,31.0,SS,3000000.0
Ja'Wuan James,,O,O,O,Q,Q,Q,Q,O,D,Q,Q,Q,O,O,O,,,
Andy Janovich,O,O,O,Q,,,,,,,IR,IR,IR,IR,IR,IR,,,
Josey Jewell,,,,Q,Q,,,,,,,Q,,,,,,,
Alexander Johnson,,,,,,,,,,,,Q,,,,,28.0,LILB,570000.0
Cyrus Jones,,,,,,,,,,,O,IR,IR,IR,IR,IR,,,
Dre'Mont Jones,,,,,,,,,,,,,,Q,Q,,,,
Joseph Jones,O,O,O,Q,,,,,,,Q,,,Q,,,,,
Ronald Leary,,,,,,,,,,,Q,,O,O,O,O,30.0,G,8150000.0
Drew Lock,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,23.0,qb,495000.0
Trey Marshall,,,,,,Q,,,,,,,,,,,,,
Connor McGovern,,,,,,,,,,,Q,,,,,,26.0,C,2025000.0
Von Miller,,,,,,,,,,,,Q,Q,,,,,,
Corey Nelson,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dadi Nicolas,IR,IR,IR,IR,,,,,,,,,,,,,,,
Will Parks,,,,,,,,O,O,,,,,,,,25.0,db,2025000.0
Tim Patrick,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,,,,
Kyle Peko,,,,,,,,,,,,,,,Q,,,,
Malik Reed,,,,,,,,,,,,,Q,,,,23.0,LOLB,495000.0
Horace Richardson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Theo Riddick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dalton Risner,,,,,,,,,,,Q,,,,Q,,24.0,LG,495000.0
Dymonte Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
DeMarcus Walker,,,,,,,,,Q,,,,,O,Q,Q,,,
Elijah Wilkinson,,,,,,,,,,,,,,,,O,24.0,RT,645000.0
Juwann Winfree,,,,,,,,,,,,,,O,IR,IR,,,
Billy Winn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Derek Wolfe,,,,Q,,,,,,,,,IR,IR,IR,IR,29.0,DE,8000000.0
