Player ,09/14vs. TEN,09/20vs. PIT,09/27vs. TAM,10/01vs. NYJ,10/18vs. NWE,10/25vs. KAN,11/01vs. LAC,11/08vs. ATL,11/15vs. LVR,11/22vs. MIA,11/29vs. NOR,12/06vs. KAN,12/13vs. CAR,Age,Pos,Salary
Jeremiah Attaochu,,,,O,O,O,Q,,,,,,,27.0,OLB,1000000.0
Mark Barron,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,31.0,LB,1750000.0
Essang Bassey,,,,,,,,,,,,,IR,,,
Andrew Beck,,,,,,Q,O,IR,IR,IR,IR,IR,,24.0,TE,552942.0
LeVante Bellamy,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,
Garett Bolles,,Q,,,,,,,,,,,,28.0,OT,1969351.0
A.J. Bouye,,IR,IR,IR,IR,IR,,O,,,,,,29.0,CB,13000000.0
Jake Butt,,,,,,Q,Q,,IR,,,,,,,
Austin Calitro,,,,IR,IR,IR,IR,,,,,,,26.0,RILB,679412.0
Bryce Callahan,,,,,,,,Q,Q,Q,Q,,,,,
Jurrell Casey,,,,IR,IR,IR,IR,IR,C19,C19,IR,IR,IR,,,
Tyrie Cleveland,,Q,,,,,,,,,,,,23.0,WR,610000.0
Demar Dotson,,,,,,,,,Q,,Q,,,35.0,T,1150000.0
Jeff Driskel,,,,,,,,,,,C19,C19,C19,27.0,QB,1000000.0
Noah Fant,,,,,Q,,,,,Q,,,,23.0,TE,1067306.0
Austin Fort,,,,,,,,,IR,,,,,,,
Graham Glasgow,,,,,,,C19,C19,C19,Q,Q,,,28.0,OG,2500000.0
Melvin Gordon,,,,,Q,,,,,,,,,27.0,RB,1000000.0
KJ Hamler,Q,,,,O,,,,,,,,,21.0,WR,610000.0
Davontae Harris,,,O,Q,,,,,,,,,,,,
Jonathan Harris,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Shelby Harris,,,,,,,,C19,C19,C19,C19,,,29.0,DE,2000000.0
Joel Heath,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ja'Wuan James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jerry Jeudy,,,Q,,,,,,Q,,Q,,,21.0,WR,610000.0
Dre'Mont Jones,,,IR,IR,IR,IR,,,,,,,,23.0,DL,685400.0
Joseph Jones,,,,,,,,,O,O,Q,,,26.0,OLB,825000.0
Phillip Lindsay,,O,D,Q,,,Q,Q,,,,,,26.0,RB,750000.0
Drew Lock,,,O,O,Q,,,,,Q,,,,24.0,QB,813674.0
Trey Marshall,,,,,,,,Q,,,O,,,24.0,S,750000.0
Brandon McManus,,,,,,,,,,,,,,,,
Von Miller,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Albert Okwuegbunam,,,,,,,,,IR,IR,IR,IR,IR,,,
Tim Patrick,,,,,,,Q,Q,,,,,,27.0,WR,750000.0
Kyle Peko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mike Purcell,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Dalton Risner,,,,,,Q,,,,,,,,25.0,OL,819649.0
Jake Rodgers,,,,,,,,,Q,Q,,,,,,
Brett Rypien,,,,,,,,,,,C19,,,24.0,QB,595590.0
Diontae Spencer,,,,,,O,O,D,Q,,C19,C19,C19,28.0,WR,675000.0
Justin Strnad,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Courtland Sutton,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Derrek Tuszka,,,,,,,IR,IR,IR,IR,IR,IR,IR,24.0,DL,378824.0
Nick Vannett,,,,,,,,Q,,,,,,27.0,TE,1000000.0
DeMarcus Walker,,,IR,IR,IR,IR,,,,,,,,26.0,DE,1156890.0
Elijah Wilkinson,,,,IR,IR,IR,IR,IR,IR,IR,,,,25.0,OT,3259000.0
DeShawn Williams,,,,,,,,,,Q,,,,28.0,DT,595590.0
Sylvester Williams,,,,,,,,,,,Q,,,32.0,DT,535294.0
