Player ,09/13vs. NYJ,09/20vs. TEN,09/27vs. OAK,10/04vs. SDG,10/11vs. BAL,10/18vs. DEN,10/25vs. STL,11/01vs. ARI,11/05vs. CIN,11/15vs. PIT,11/30vs. BAL,12/06vs. CIN,12/13vs. SFO,12/20vs. SEA,12/27vs. KAN,01/03vs. PIT,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Johnson Bademosi,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,
Gary Barnidge,,,,,,,P,,,,,,Q,,,,,,,,,,,,,,,,
Travis Benjamin,,,,P,,,,,,,,,Q,,,Q,11.0,26.0,WR,16.0,15.0,175.0,2020-05-10,Miami (FL),1989-12-29,3,7.0,Cleveland Browns / 4th / 100th pick / 2012,779250.0
Joel Bitonio,,P,,,,,,,,O,Q,Q,IR,IR,IR,IR,75.0,24.0,LG,10.0,10.0,320.0,2020-06-04,Nevada,1991-10-11,1,3.0,Cleveland Browns / 2nd / 35th pick / 2014,1241295.0
Dwayne Bowe,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Bowie,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Armonty Bryant,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
Desmond Bryant,,Q,Q,O,Q,Q,,,,,,,,,P,P,92.0,30.0,LDE,14.0,14.0,290.0,2020-06-05,Harvard,1985-12-15,6,6.0,,7000000.0
Ibraheim Campbell,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Tank Carder,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Travis Coons,,,,,,,,,,,,,,Q,P,,,,,,,,,,,,,,
Isaiah Crowell,,,,,,Q,,P,,,,,,,P,,34.0,22.0,RB,16.0,9.0,225.0,2020-05-11,Alabama St.,1993-01-08,1,5.0,,513333.0
Karlos Dansby,,Q,,P,Q,Q,,,,,,,,,,Q,56.0,34.0,LILB,16.0,16.0,250.0,2020-06-04,Auburn,1981-11-03,11,7.0,Arizona Cardinals / 2nd / 33rd pick / 2004,5500000.0
Pierre Desir,P,,,,,,,,,,,,,,,,26.0,25.0,LCB,14.0,6.0,192.0,2020-06-01,Lindenwood,1990-09-08,1,2.0,Cleveland Browns / 4th / 127th pick / 2014,611903.0
Shaun Draughn,,,,Q,D,Q,,,,,,,,,,,,,,,,,,,,,,,
Ifo Ekpre-Olomu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cameron Erving,,,,,,,,,,,,,P,,Q,,,,,,,,,,,,,,
Taylor Gabriel,,,,,,,,,,,O,O,Q,,P,,,,,,,,,,,,,,
Charles Gaines,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,IR,,,,,,,,,,,,,
Justin Gilbert,Q,Q,Q,P,,,,,,,,O,O,Q,,,,,,,,,,,,,,,
Tashaun Gipson,,,,Q,O,O,D,Q,Q,Q,,,,,,,39.0,25.0,FS,13.0,13.0,212.0,2020-06-01,Wyoming,1990-08-07,3,4.0,,2356000.0
John Greco,,,,,,,,,,,,,,,IR,IR,77.0,30.0,RG,14.0,14.0,318.0,2020-06-04,Toledo,1985-03-24,7,5.0,St. Louis Rams / 3rd / 65th pick / 2008,2825000.0
Joe Haden,P,,,P,Q,O,O,P,IR,IR,IR,IR,IR,IR,IR,IR,23.0,26.0,lcb,5.0,5.0,195.0,2020-05-11,Florida,1989-04-14,5,2.0,Cleveland Browns / 1st / 7th pick / 2010,11700000.0
Brian Hartline,,,,,Q,P,,,O,P,,,Q,IR,IR,IR,,,,,,,,,,,,,
Andrew Hawkins,,,,,,,,O,O,P,IR,IR,IR,IR,IR,IR,16.0,29.0,WR,8.0,8.0,175.0,2020-05-07,Toledo,1986-03-10,4,2.0,,5000000.0
Rob Housler,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,
John Hughes,,,,,,,Q,P,,,,,,,,,,,,,,,,,,,,,
Malcolm Johnson,,,,,,,,,,,,,IR,IR,IR,IR,42.0,23.0,rb,12.0,5.0,231.0,2020-06-01,Mississippi St.,1992-08-11,Rook,0.0,Cleveland Browns / 6th / 195th pick / 2015,464862.0
