Player ,09/10vs. PIT,09/17vs. BAL,09/24vs. IND,10/01vs. CIN,10/08vs. NYJ,10/15vs. HOU,10/22vs. TEN,10/29vs. MIN,11/12vs. DET,11/19vs. JAX,11/26vs. CIN,12/03vs. LAC,12/10vs. GNB,12/17vs. BAL,12/24vs. CHI,12/31vs. PIT,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Dominique Alexander,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Barker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Briean Boddy-Calhoun,,,,,,,,,,,,,Q,D,Q,Q,20.0,24.0,fs,13.0,7.0,193.0,2020-05-09,Minnesota,1993-01-21,1,3.0,,540000.0
Kenny Britt,,,,,D,Q,Q,,,,,,,,,,,,,,,,,,,,,,
James Burgess,,,,,,D,O,,,,,,,,,,52.0,23.0,RLB,14.0,9.0,230.0,2000-06-01,Louisville,1994-03-09,Rook,4.0,,465000.0
Ibraheim Campbell,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Tank Carder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sammie Coates,,,D,Q,,,Q,,,,O,O,Q,,,,,,,,,,,,,,,,
Corey Coleman,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,19.0,23.0,WR,9.0,8.0,185.0,2020-05-11,Baylor,1994-07-06,1,2.0,Cleveland Browns / 1st / 15th pick / 2016,979773.0
Shon Coleman,,,,,,Q,,,,Q,,,,,,,72.0,26.0,RT,16.0,16.0,310.0,2020-06-05,Auburn,1991-11-25,1,6.0,Cleveland Browns / 3rd / 76th pick / 2016,568000.0
Trevon Coley,,,,,,,,Q,,,,,,,,,93.0,23.0,LDT,15.0,15.0,310.0,2020-06-01,Florida Atlantic,1994-07-13,Rook,6.0,,465000.0
Jamie Collins,,,O,O,D,,,,,IR,IR,IR,IR,IR,IR,IR,51.0,28.0,rlb,6.0,6.0,255.0,2020-06-03,Southern Miss,1989-10-20,4,3.0,New England Patriots / 2nd / 52nd pick / 2013,4750000.0
Seth Devalve,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Myles Garrett,,O,D,Q,,,,O,,,,,,,,,95.0,22.0,LDE,11.0,9.0,272.0,2020-06-04,Texas A&M,1995-12-29,Rook,4.0,Cleveland Browns / 1st / 1st pick / 2017,465000.0
Matt Hazel,,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,
Darius Hillary,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Tyrone Holmes,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Darius Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Roderick Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Derrick Kindred,,,,,,,,,,,,,,,IR,IR,26.0,24.0,FS,14.0,10.0,208.0,2020-05-10,TCU,1993-12-15,1,4.0,Cleveland Browns / 4th / 129th pick / 2016,540000.0
Jordan Leslie,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matt McCants,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jason McCourty,,,,,,,Q,D,,,,,,,,,30.0,30.0,LCB,14.0,14.0,195.0,2020-05-11,Rutgers,1987-08-13,8,6.0,Tennessee Titans / 6th / 203rd pick / 2009,1500000.0
T.Y. McGill,,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Meder,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Emmanuel Ogbah,,,,,,,,,,,IR,IR,IR,IR,IR,IR,90.0,24.0,RDE,10.0,10.0,275.0,2020-06-04,Oklahoma St.,1993-11-06,1,4.0,Cleveland Browns / 2nd / 32nd pick / 2016,750438.0
Jabrill Peppers,,,,,,,Q,Q,,,,,D,,,,22.0,22.0,SS,13.0,13.0,213.0,2020-05-11,Michigan,1995-10-04,Rook,5.0,Cleveland Browns / 1st / 25th pick / 2017,465000.0
Reggie Porter,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ed Reynolds,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Danny Shelton,Q,,,Q,,,,,,,,,Q,,,,55.0,24.0,RDT,14.0,14.0,345.0,2020-06-02,Washington,1993-08-20,2,5.0,Cleveland Browns / 1st / 12th pick / 2015,1498970.0
Derron Smith,,,,,,,,,,,D,,,,,Q,,,,,,,,,,,,,
