Player ,09/09vs. PIT,09/16vs. NOR,09/20vs. NYJ,09/30vs. OAK,10/07vs. BAL,10/14vs. LAC,10/21vs. TAM,10/28vs. PIT,11/04vs. KAN,11/11vs. ATL,11/25vs. CIN,12/02vs. HOU,12/09vs. CAR,12/15vs. DEN,12/23vs. CIN,12/30vs. BAL,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
C.J. Board,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Pharaoh Brown,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
James Burgess,D,,,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Antonio Callaway,,,,,,,,,Q,,,,,,,,11.0,21.0,WR,16.0,11.0,200.0,2020-05-11,Florida,1997-01-09,Rook,4.0,Cleveland Browns / 4th / 105th pick / 2018,480000.0
Orson Charles,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Austin Corbett,,,,,,,,,,,,O,O,O,Q,,,,,,,,,,,,,,
Justin Currie,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Seth Devalve,,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,
E.J. Gaines,O,,,,,,O,O,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Phillip Gaines,,,,,,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,
Josh Gordon,,O,IR,,IR,,,IR,,,,,,IR,IR,IR,,,,,,,,,,,,,
Desmond Harrison,,,,,,,,,Q,Q,,,,,,,69.0,25.0,LT,8.0,8.0,295.0,2020-06-06,West Georgia,1993-10-08,Rook,4.0,,480000.0
Rashard Higgins,,,,,,O,O,O,Q,,,,,,,,,,,,,,,,,,,,
Lenny Jones,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Christian Kirksey,,Q,D,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,58.0,26.0,llb,7.0,7.0,235.0,2020-06-02,Iowa,1992-08-31,4,4.0,Cleveland Browns / 3rd / 71st pick / 2014,5000000.0
Jarvis Landry,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Louis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Terrance Mitchell,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,39.0,26.0,rcb,8.0,7.0,191.0,2020-05-11,Oregon,1992-05-17,4,3.0,Dallas Cowboys / 7th / 254th pick / 2014,1500000.0
David Njoku,,,,,,,,,,Q,Q,,,,,,85.0,22.0,TE,16.0,14.0,246.0,2020-06-04,Miami (FL),1996-07-10,1,5.0,Cleveland Browns / 1st / 29th pick / 2017,897959.0
Emmanuel Ogbah,,O,O,,,,,,,,,,,,,,90.0,25.0,RDE,14.0,14.0,275.0,2020-06-04,Oklahoma St.,1993-11-06,2,7.0,Cleveland Browns / 2nd / 32nd pick / 2016,1050876.0
Jabrill Peppers,,,,,,,,,,,,,,,Q,,22.0,23.0,FS,16.0,16.0,213.0,2020-05-11,Michigan,1995-10-04,1,6.0,Cleveland Browns / 1st / 25th pick / 2017,935090.0
Damarious Randall,,,Q,Q,Q,,,Q,Q,Q,,Q,,,,,23.0,26.0,SS,15.0,15.0,196.0,2020-05-11,Arizona St.,1992-08-29,3,6.0,Green Bay Packers / 1st / 30th pick / 2015,1090381.0
Joe Schobert,,,,,,,O,O,O,Q,,,,,,,53.0,25.0,MLB,13.0,13.0,245.0,2020-06-01,Wisconsin,1993-11-06,2,7.0,Cleveland Browns / 4th / 99th pick / 2016,630000.0
Da'Mari Scott,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,
Rod Streater,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tyrod Taylor,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Thomas,IR,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tavierre Thomas,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
J.C. Tretter,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,64.0,27.0,C,16.0,16.0,307.0,2020-06-04,Cornell,1991-02-12,5,7.0,Green Bay Packers / 4th / 122nd pick / 2013,5000000.0
Tanner Vallejo,,,,,,O,,,,,,,,,IR,IR,,,,,,,,,,,,,
Danny Vitale,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,,,,,,,,,,,,,,
Denzel Ward,,,,,,,,,,Q,,,O,O,,O,,,,,,,,,,,,,
Marquez Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Derrick Willies,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Howard Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
