Player ,09/08vs. TEN,09/16vs. NYJ,09/22vs. LAR,09/29vs. BAL,10/07vs. SFO,10/13vs. SEA,10/27vs. NWE,11/03vs. DEN,11/10vs. BUF,11/14vs. PIT,11/24vs. MIA,12/01vs. PIT,12/08vs. CIN,12/15vs. ARI,12/22vs. BAL,12/29vs. CIN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Odell Beckham Jr.,,,,,,,,,,,,,,,,Q,13.0,27.0,WR,16.0,15.0,198.0,2020-05-11,LSU,1992-11-05,5,9.0,New York Giants / 1st / 12th pick / 2014,16750000.0
Joel Bitonio,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharaoh Brown,,,,,,,,O,,,,,,,,Q,86.0,25.0,TE,9.0,6.0,258.0,2020-06-06,Oregon,1994-05-04,2,0.0,,570000.0
Morgan Burnett,,,Q,Q,Q,,,,,,IR,IR,IR,IR,IR,IR,42.0,30.0,FS,8.0,8.0,210.0,2020-06-01,Georgia Tech,1989-01-13,9,3.0,Green Bay Packers / 3rd / 71st pick / 2010,1000000.0
Daniel Ekuale,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Lo Falemaka,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Drew Forbes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Phillip Gaines,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrius Harris,,,,,,,,,,,,,Q,,,,88.0,28.0,te,15.0,6.0,230.0,2020-06-07,Wisconsin–Milwaukee,1991-07-29,6,1.0,,1250000.0
Willie Harvey,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rashard Higgins,,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Dontrell Hilliard,,O,,,,,,,,,,,,,Q,IR,,,,,,,,,,,,,
KhaDarel Hodge,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Chris Hubbard,,,Q,Q,Q,,,,,,,,Q,Q,,,74.0,28.0,RT,14.0,13.0,295.0,2020-06-04,Ala-Birmingham,1991-04-23,6,6.0,,6150000.0
Robert Jackson,,,,,,,,,,,,,O,IR,IR,IR,,,,,,,,,,,,,
Kyle Kalis,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Kerridge,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,
Christian Kirksey,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kendall Lamm,,O,O,O,O,Q,Q,Q,Q,Q,,,,,Q,Q,,,,,,,,,,,,,
D.J. Montgomery,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Murray,,,,,,,,O,O,O,O,O,D,O,Q,,,,,,,,,,,,,,
David Njoku,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Damarious Randall,,O,O,,,,O,O,Q,,,,,,,,23.0,27.0,FS,11.0,11.0,196.0,2020-05-11,Arizona St.,1992-08-29,4,4.0,Green Bay Packers / 1st / 30th pick / 2015,9069000.0
Sheldrick Redwine,,,Q,Q,Q,,Q,,,,,,,,,,29.0,23.0,fs,12.0,5.0,196.0,2000-06-01,Miami (FL),1996-11-06,Rook,2.0,Cleveland Browns / 4th / 119th pick / 2019,800000.0
Sheldon Richardson,,,,,,,,,,,,,,,Q,Q,98.0,29.0,RDT,16.0,15.0,294.0,2020-06-03,Missouri,1990-11-29,6,8.0,New York Jets / 1st / 13th pick / 2013,8000000.0
Greg Robinson,,,,,,,,,,,,Q,,,,,78.0,27.0,LT,15.0,14.0,330.0,2020-06-05,Auburn,1992-10-21,5,7.0,St. Louis Rams / 1st / 2nd pick / 2014,5500000.0
Joe Schobert,,,,,,,,,,,Q,,,,,,53.0,26.0,ML,16.0,16.0,245.0,2020-06-01,Wisconsin,1993-11-06,3,9.0,Cleveland Browns / 4th / 99th pick / 2016,2025000.0
Ricky Seals-Jones,,,,,,,,,Q,Q,,,,,,Q,,,,,,,,,,,,,
Chris Smith,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Stanton,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sione Takitaki,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adarius Taylor,,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
J.C. Tretter,,,,,,,,,,,,,Q,Q,Q,Q,64.0,28.0,C,16.0,16.0,307.0,2020-06-04,Cornell,1991-02-12,6,7.0,Green Bay Packers / 4th / 122nd pick / 2013,5500000.0
Olivier Vernon,,,,,,,,,O,O,O,Q,Q,O,Q,Q,54.0,29.0,RDE,10.0,10.0,262.0,2020-06-02,Miami (FL),1990-10-07,7,5.0,Miami Dolphins / 3rd / 72nd pick / 2012,15250000.0
Denzel Ward,,,Q,Q,Q,Q,,,,,,,,,,,21.0,22.0,LCB,12.0,12.0,190.0,2020-05-11,Ohio St.,1997-04-28,1,5.0,Cleveland Browns / 1st / 4th pick / 2018,1805698.0
Greedy Williams,,,Q,Q,Q,Q,,,,,,,,,,,26.0,22.0,RCB,12.0,12.0,185.0,2020-06-02,LSU,1997-12-03,Rook,4.0,Cleveland Browns / 2nd / 46th pick / 2019,495000.0
