Player ,09/13vs. BAL,09/17vs. CIN,09/27vs. WAS,10/04vs. DAL,10/11vs. IND,10/18vs. PIT,10/25vs. CIN,11/01vs. LVR,11/15vs. HOU,11/22vs. PHI,11/29vs. JAX,12/06vs. TEN,12/14vs. BAL,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Odell Beckham Jr.,,,,,,Q,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andrew Billings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Joel Bitonio,,,,Q,,,,,,,,,,75.0,29.0,OT,13.0,13.0,320.0,2020-06-04,Nevada,1991-10-11,6,,Cleveland Browns / 2nd / 35th pick / 2014,8500000.0
Nick Chubb,,,,,IR,IR,IR,IR,,,,,,24.0,25.0,RB,9.0,9.0,227.0,2020-05-11,Georgia,1995-12-27,2,,Cleveland Browns / 2nd / 35th pick / 2018,1151190.0
Adrian Clayborn,,,Q,O,Q,,,,,,,,,94.0,32.0,DL,12.0,2.0,280.0,2020-06-03,Iowa,1988-07-06,9,,Tampa Bay Buccaneers / 1st / 20th pick / 2011,1750000.0
Jack Conklin,,Q,,,,,,,,C19,,,,78.0,26.0,OT,12.0,12.0,308.0,2020-06-06,Michigan St.,1994-08-17,4,,Tennessee Titans / 1st / 8th pick / 2016,5000000.0
Tae Davis,,,,O,O,,,,,,,,,55.0,24.0,LB,10.0,0.0,224.0,2020-06-01,Chattanooga,1996-08-14,2,,,750000.0
Grant Delpit,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Drake Dorbeck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Drew Forbes,,,,,,,IR,,,,IR,IR,IR,,,,,,,,,,,,,
Myles Garrett,,,,,,,,,,C19,C19,,,95.0,25.0,DE,11.0,11.0,272.0,2020-06-04,Texas A&M,1995-12-29,3,,Cleveland Browns / 1st / 1st pick / 2017,862126.0
Jamie Gillan,,,,,,Q,,,,,,,,7.0,23.0,P,13.0,0.0,207.0,2020-06-01,Ark-Pine Bluff,1997-07-04,1,,,675000.0
Colby Gossett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Porter Gustin,,,,,,,,,,,C19,C19,,97.0,23.0,LB,11.0,3.0,260.0,2020-06-05,USC,1997-02-08,1,,,675000.0
Nick Harris,,,,Q,,,,,,,Q,,,53.0,22.0,OL,10.0,0.0,302.0,2020-06-01,Washington,1998-11-13,Rook,,Cleveland Browns / 5th / 160th pick / 2020,610000.0
Ronnie Harrison,,,,,,O,,,,,IR,IR,IR,,,,,,,,,,,,,
KhaDarel Hodge,,,,,IR,IR,IR,IR,,,,,,12.0,25.0,WR,7.0,0.0,205.0,2020-06-02,Prairie View A&M,1995-01-03,2,,,697059.0
Austin Hooper,,,,,,,O,O,,,,,,81.0,26.0,TE,10.0,10.0,254.0,2020-06-04,Stanford,1994-10-29,4,,Atlanta Falcons / 3rd / 81st pick / 2016,1500000.0
Chris Hubbard,O,Q,,,,,,,C19,C19,C19,,,74.0,29.0,G,10.0,4.0,295.0,2020-06-04,Ala-Birmingham,1991-04-23,7,,,2150000.0
Kareem Hunt,,,,Q,,,,,,,,,,27.0,25.0,RB,13.0,4.0,216.0,2020-05-11,Toledo,1995-08-06,3,,Kansas City Chiefs / 3rd / 86th pick / 2017,4009000.0
Joe Jackson,,,,,,,,,,,C19,C19,,91.0,24.0,EDGE,3.0,0.0,258.0,2020-06-05,Miami (FL),1996-12-20,1,,Dallas Cowboys / 5th / 165th pick / 2019,675000.0
Andy Janovich,,,,,,,,,,C19,C19,,,31.0,27.0,FB,11.0,3.0,238.0,2020-06-01,Nebraska,1993-05-23,4,,Denver Broncos / 6th / 176th pick / 2016,1150000.0
Kevin Johnson,O,O,,,,,,,,,,,,28.0,28.0,CB,11.0,5.0,185.0,2000-06-01,Wake Forest,1992-08-05,5,,Houston Texans / 1st / 16th pick / 2015,1500000.0
Karl Joseph,,,,,Q,O,Q,,,,,,,42.0,27.0,SS,11.0,6.0,200.0,2020-05-10,West Virginia,1993-09-08,4,,Oakland Raiders / 1st / 14th pick / 2016,1500000.0
Jarvis Landry,,Q,,,,Q,,,,,,,,80.0,28.0,WR,13.0,12.0,196.0,2020-05-11,LSU,1992-11-28,6,,Miami Dolphins / 2nd / 63rd pick / 2014,13000000.0
Baker Mayfield,,,,,,Q,,,C19,,,,,6.0,25.0,QB,13.0,13.0,215.0,2020-06-01,Oklahoma,1995-04-14,2,,Cleveland Browns / 1st / 1st pick / 2018,750000.0
Jojo Natson,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
David Njoku,,IR,,,,,,,,,,,,85.0,24.0,TE,10.0,4.0,246.0,2020-06-04,Miami (FL),1996-07-10,3,,Cleveland Browns / 1st / 29th pick / 2017,1763877.0
George Obinna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Larry Ogunjobi,,,,,O,Q,,,,,,,,65.0,26.0,DT,12.0,12.0,305.0,2020-06-03,Charlotte,1994-06-03,3,,Cleveland Browns / 3rd / 65th pick / 2017,2133000.0
Cody Parkey,,,,,,,,,,C19,,,,2.0,28.0,K,12.0,0.0,190.0,2000-06-01,Auburn,1992-02-19,6,,,856471.0
Jacob Phillips,,O,O,Q,,O,O,O,Q,,,,,50.0,21.0,LB,7.0,1.0,229.0,2020-06-03,LSU,1999-04-01,Rook,,Cleveland Browns / 3rd / 97th pick / 2020,610000.0
Malcolm Pridgeon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sheldrick Redwine,,,,,,,,,,,O,,,29.0,24.0,S,12.0,1.0,196.0,2000-06-01,Miami (FL),1996-11-06,1,,Cleveland Browns / 4th / 119th pick / 2019,675000.0
Sheldon Richardson,,,,,,,Q,,,,,,,98.0,30.0,DT,13.0,13.0,294.0,2020-06-03,Missouri,1990-11-29,7,,New York Jets / 1st / 13th pick / 2013,11900000.0
Andrew Sendejo,,,,,,,,,,,Q,,,23.0,33.0,DB,13.0,13.0,210.0,2020-06-01,Rice,1987-09-09,10,,,1050000.0
M.J. Stewart,Q,,,,,,,,,,,,,36.0,25.0,CB,13.0,0.0,200.0,2020-05-11,North Carolina,1995-09-16,2,,Tampa Bay Buccaneers / 2nd / 53rd pick / 2018,942101.0
Sione Takitaki,,,,,,,,,,,C19,C19,,44.0,25.0,LB,12.0,9.0,238.0,2020-06-01,BYU,1995-06-08,1,,Cleveland Browns / 3rd / 80th pick / 2019,675000.0
Alex Taylor,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,
Taywan Taylor,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Wyatt Teller,,,,,,O,O,O,,Q,Q,,C19,77.0,26.0,OG,10.0,10.0,314.0,2020-06-04,Virginia Tech,1994-11-21,2,,Buffalo Bills / 5th / 166th pick / 2018,750000.0
