Player ,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Antoine Bethea,,,,,,,,,,,,,,,Q,IR,,,,,,,,,,,,,
Alex Boone,,,,O,Q,,,,,,,,,,,,75.0,30.0,LG,14.0,13.0,330.0,2020-06-07,Ohio St.,1987-05-04,7,5.0,,1400000.0
Tyvon Branch,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,27.0,31.0,SS,9.0,9.0,197.0,2020-05-11,Connecticut,1986-12-11,9,3.0,Oakland Raiders / 4th / 100th pick / 2008,1000000.0
Aaron Brewer,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
John Brown,,O,O,Q,Q,,,,,Q,O,O,O,O,Q,,12.0,27.0,wr,10.0,5.0,178.0,2020-05-11,Pittsburg St.,1990-04-03,3,2.0,Arizona Cardinals / 3rd / 91st pick / 2014,1797000.0
Deone Bucannon,O,D,Q,,,,,,,,,O,,,,,20.0,25.0,LILB,12.0,12.0,211.0,2020-06-01,Washington St.,1992-08-30,3,6.0,Arizona Cardinals / 1st / 27th pick / 2014,1471255.0
Josh Bynes,,,,,,,,,,,,,,,O,Q,,,,,,,,,,,,,
Karlos Dansby,,,,,,Q,Q,Q,,,,,,,Q,,56.0,36.0,RILB,16.0,15.0,250.0,2020-06-04,Auburn,1981-11-03,13,8.0,Arizona Cardinals / 2nd / 33rd pick / 2004,1000000.0
Aaron Dobson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andre Ellington,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,
Rudy Ford,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Alani Fua,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brittan Golden,,,,,,,,Q,Q,,Q,,,,IR,IR,,,,,,,,,,,,,
