Player ,09/08vs. DET,09/15vs. BAL,09/22vs. CAR,09/29vs. SEA,10/06vs. CIN,10/13vs. ATL,10/20vs. NYG,10/27vs. NOR,10/31vs. SFO,11/10vs. TAM,11/17vs. SFO,12/01vs. LAR,12/08vs. PIT,12/15vs. CLE,12/22vs. SEA,12/29vs. LAR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Robert Alford,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Zach Allen,,,,,O,Q,O,O,O,O,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tramaine Brock,,,,,Q,,,,,O,Q,,,,,,20.0,31.0,rcb,10.0,7.0,188.0,2000-06-01,"Minnesota,Belhaven",1988-08-20,9,2.0,,1000000.0
Miles Brown,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Bullard,,Q,Q,,,,,,,,O,Q,IR,IR,IR,IR,90.0,26.0,LDE,9.0,6.0,296.0,2020-06-03,Florida,1993-10-22,3,2.0,Chicago Bears / 3rd / 72nd pick / 2016,
Hakeem Butler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Damiere Byrd,,,,O,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
Charles Clay,,,,,,,,,,,,,,,,Q,85.0,30.0,TE,15.0,10.0,246.0,2020-06-03,Tulsa,1989-02-13,8,2.0,Miami Dolphins / 6th / 174th pick / 2011,1150000.0
Darrell Daniels,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Chase Edmonds,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,
D.J. Foster,,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Lamont Gaillard,O,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Max Garcia,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,Q,,,,,,,,,,,,,,,,
Dennis Gardeck,,,,,O,O,Q,Q,,,,,,,,,,,,,,,,,,,,,
Marcus Gilbert,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rodney Gunter,,,,,,,,,,,,,,IR,IR,IR,95.0,27.0,DE,13.0,13.0,305.0,2020-06-05,Delaware St.,1992-01-19,4,5.0,Arizona Cardinals / 4th / 116th pick / 2015,1000000.0
