Player ,09/13vs. SFO,09/20vs. WAS,09/27vs. DET,10/04vs. CAR,10/11vs. NYJ,10/19vs. DAL,10/25vs. SEA,11/08vs. MIA,11/15vs. BUF,11/19vs. SEA,11/29vs. NWE,12/06vs. LAR,12/13vs. NYG,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Robert Alford,,,,,,,,,,,IR,,,,,,,,,,,,,,,
Zach Allen,,,,,,,,IR,IR,,IR,,,94.0,23.0,DL,10.0,4.0,281.0,2020-06-04,Boston Col.,1997-08-20,1,,Arizona Cardinals / 3rd / 65th pick / 2019,690171.0
Budda Baker,,,,O,,,,,Q,,,,,32.0,24.0,FS,12.0,12.0,195.0,2020-05-10,Washington,1996-01-10,3,,Arizona Cardinals / 2nd / 36th pick / 2017,1000000.0
Chris Banjo,,,,O,Q,,,,,,,,,31.0,30.0,S,11.0,4.0,207.0,2020-05-10,SMU,1990-02-26,7,,,1050000.0
Kelvin Beachum,,,,,,,Q,,,,,,,68.0,31.0,T,13.0,13.0,308.0,2020-06-03,SMU,1989-06-08,8,,Pittsburgh Steelers / 7th / 248th pick / 2012,1050000.0
De'Vondre Campbell,,,,,,,,,,Q,,,,59.0,27.0,OLB,13.0,13.0,232.0,2020-06-04,Minnesota,1993-07-01,4,,Atlanta Falcons / 4th / 115th pick / 2016,1000000.0
Mason Cole,,O,O,Q,,,,,,,,,,52.0,24.0,C,11.0,11.0,292.0,2020-06-05,Michigan,1996-03-28,2,,Arizona Cardinals / 3rd / 97th pick / 2018,750000.0
Darrell Daniels,,,,,Q,,,,,Q,O,IR,IR,,,,,,,,,,,,,
Kenyan Drake,,,,,,,,O,Q,,,,,41.0,26.0,RB,12.0,10.0,211.0,2020-06-01,Alabama,1994-01-26,4,,Miami Dolphins / 3rd / 73rd pick / 2016,8483000.0
Kylie Fitts,,Q,,,,O,Q,,,,,,,49.0,26.0,DE,12.0,1.0,261.0,2020-06-03,"UCLA,Utah",1994-10-11,2,,Chicago Bears / 6th / 181st pick / 2018,750000.0
Larry Fitzgerald,,,,,,,,,,,C19,C19,,11.0,37.0,WR,11.0,11.0,218.0,2020-06-03,Pittsburgh,1983-08-31,16,,Arizona Cardinals / 1st / 3rd pick / 2004,11000000.0
Leki Fotu,,,,,,,,,O,IR,IR,IR,,95.0,22.0,DL,8.0,0.0,330.0,2020-06-05,Utah,1998-08-23,Rook,,Arizona Cardinals / 4th / 114th pick / 2020,610000.0
Dennis Gardeck,,,,Q,,Q,Q,,,,,,,45.0,26.0,LB,13.0,0.0,232.0,2000-06-01,Sioux Falls,1994-08-09,2,,,750000.0
Marcus Gilbert,IR,,,,,,,,,,IR,,,,,,,,,,,,,,,
DeAndre Hopkins,,,,Q,,,Q,,,,,,,10.0,28.0,WR,13.0,13.0,212.0,2020-06-01,Clemson,1992-06-06,7,,Houston Texans / 1st / 27th pick / 2013,1500000.0
D.J. Humphries,,,,,,Q,,,,,,,,74.0,27.0,OT,13.0,13.0,307.0,2020-06-05,Florida,1993-12-28,4,,Arizona Cardinals / 1st / 24th pick / 2015,910000.0
