Player ,09/13vs. DET,09/20vs. CIN,09/27vs. MIN,10/04vs. CLE,10/12vs. PIT,10/18vs. GNB,10/25vs. OAK,11/01vs. BAL,11/09vs. CHI,11/22vs. KAN,11/29vs. JAX,12/06vs. DEN,12/13vs. KAN,12/20vs. MIA,12/24vs. OAK,01/03vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jahleel Addae,,D,O,O,Q,,P,,,,P,,,,,,37.0,25.0,SS,13.0,12.0,195.0,2020-05-10,Central Michigan,1990-01-24,2,4.0,,586668.0
Keenan Allen,,,,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,13.0,23.0,WR,8.0,8.0,211.0,2020-06-02,California,1992-04-27,2,5.0,San Diego Chargers / 3rd / 76th pick / 2013,753450.0
Jeremiah Attaochu,Q,P,,,,,,,,,,Q,,,,P,97.0,22.0,ROLB,15.0,12.0,252.0,2020-06-03,Georgia Tech,1993-01-17,1,6.0,San Diego Chargers / 2nd / 50th pick / 2014,955250.0
King Dunlap,,,,D,D,O,Q,,O,P,D,O,P,O,O,D,77.0,30.0,lt,7.0,7.0,310.0,2020-06-08,Auburn,1985-09-09,7,4.0,Philadelphia Eagles / 7th / 230th pick / 2008,4125000.0
Kyle Emanuel,,Q,P,,,P,P,,,P,,,,,O,P,,,,,,,,,,,,,
Brandon Flowers,,P,,P,Q,,,,P,,,,O,IR,IR,IR,24.0,29.0,LCB,11.0,10.0,190.0,2020-05-10,Virginia Tech,1986-02-18,7,3.0,Kansas City Chiefs / 2nd / 35th pick / 2008,4250000.0
Malcom Floyd,,,,,Q,,,,,O,P,,,,,,80.0,34.0,WR,15.0,13.0,225.0,2020-06-05,Wyoming,1981-09-08,11,4.0,,4716668.0
D.J. Fluker,,D,Q,Q,Q,Q,P,,,Q,O,O,Q,P,,,76.0,24.0,RG,12.0,12.0,342.0,2020-06-05,Alabama,1991-03-13,2,5.0,San Diego Chargers / 1st / 11th pick / 2013,3109771.0
Orlando Franklin,,,,O,O,Q,P,O,D,P,,,,P,,O,74.0,28.0,LG,10.0,10.0,315.0,2020-06-06,Miami (FL),1987-12-16,4,4.0,Denver Broncos / 2nd / 46th pick / 2011,4600000.0
Antonio Gates,,,,,,,Q,Q,P,P,P,,,,,,85.0,35.0,te,11.0,4.0,255.0,2020-06-04,Kent St.,1980-06-18,12,4.0,,8374264.0
Melvin Gordon,,,,,,,Q,P,,,,,,,IR,IR,28.0,22.0,RB,14.0,12.0,215.0,2020-06-01,Wisconsin,1993-04-13,Rook,5.0,San Diego Chargers / 1st / 15th pick / 2015,1939958.0
Ladarius Green,Q,,Q,Q,,,,,D,Q,P,P,P,Q,Q,,89.0,25.0,TE,13.0,11.0,237.0,2020-06-06,Louisiana,1990-05-29,3,3.0,San Diego Chargers / 4th / 110th pick / 2012,772725.0
Chris Hairston,,,P,P,P,Q,Q,,,,,P,P,P,P,Q,75.0,26.0,LT,16.0,11.0,323.0,2020-06-06,Clemson,1989-04-26,4,5.0,Buffalo Bills / 4th / 122nd pick / 2011,685000.0
Javontee Herndon,,,,,,,,,,,,,,P,,Q,,,,,,,,,,,,,
Dontrelle Inman,,,,,,,,,,,,,O,P,,,15.0,26.0,wr,14.0,7.0,205.0,2020-06-03,Virginia,1989-01-31,1,3.0,,517500.0
Steve Johnson,,,,,O,D,Q,,,,,,O,D,Q,Q,11.0,29.0,WR,10.0,8.0,210.0,2020-06-02,Kentucky,1986-11-28,7,3.0,Buffalo Bills / 7th / 224th pick / 2008,2100000.0
Jacoby Jones,,D,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,
Sean Lissemore,,,,,,,,Q,,,Q,Q,D,Q,O,,98.0,28.0,NT,11.0,5.0,286.0,2020-06-04,William & Mary,1987-09-11,5,3.0,Dallas Cowboys / 7th / 234th pick / 2010,1250000.0
Corey Liuget,,,,,,,,,Q,Q,Q,Q,O,IR,IR,IR,94.0,25.0,RDE,11.0,11.0,300.0,2020-06-02,Illinois,1990-03-18,4,5.0,San Diego Chargers / 1st / 18th pick / 2011,7977000.0
Craig Mager,Q,P,,O,O,O,O,Q,,,,,,,,,,,,,,,,,,,,,
Branden Oliver,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Denzel Perryman,,,,,,,,D,O,P,,,,,,,52.0,23.0,RILB,14.0,9.0,240.0,2020-05-11,Miami (FL),1992-12-05,Rook,5.0,San Diego Chargers / 2nd / 48th pick / 2015,868449.0
Darius Philon,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,
Philip Rivers,,,,,,,,,,,,P,P,,,,17.0,34.0,QB,16.0,16.0,228.0,2020-06-05,North Carolina St.,1981-12-08,11,12.0,New York Giants / 1st / 4th pick / 2004,21166668.0
Patrick Robinson,,,,,,,,,Q,,,,,,,P,26.0,28.0,DB,16.0,10.0,191.0,2020-05-11,Florida St.,1987-09-07,5,8.0,New Orleans Saints / 1st / 32nd pick / 2010,2000000.0
Trevor Robinson,,,,,,,,,,,,,,,,Q,60.0,25.0,C,16.0,13.0,310.0,2020-06-05,Notre Dame,1990-05-16,3,6.0,,825000.0
Darrell Stuckey,,,,,,,,,Q,P,,,,,,,,,,,,,,,,,,,
Manti Te'o,,,,,,Q,D,O,O,P,P,,,,,Q,50.0,24.0,LILB,12.0,12.0,241.0,2020-06-01,Notre Dame,1991-01-26,2,6.0,San Diego Chargers / 2nd / 38th pick / 2013,1410660.0
Johnnie Troutman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jason Verrett,,,Q,Q,Q,,,,Q,P,,,,,,Q,,,,,,,,,,,,,
Chris Watt,,,P,D,Q,O,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Weddle,,,,,,,O,O,Q,,P,,,,,,32.0,30.0,FS,13.0,13.0,195.0,2020-05-11,Utah,1985-01-04,8,4.0,San Diego Chargers / 2nd / 37th pick / 2007,10100000.0
Steve Williams,,,,,,,,,,,,,P,Q,P,,,,,,,,,,,,,,
Tourek Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,IR,,,,,,,,,,,,,
